"botanical_id","species","author","synonyms","english_name","description","flowering_period","habit","distribution","uses"
"28","749","(Dennst.) Oken.","Holigarna longifolia Roxb.","","A tall tree with smooth ash-coloured bark, and acrid resin oozing out when wounded. Leaves 28-45 Ã— 6.5-8.0 cm, narrowly oblanceolate, acuminate, gradually narrowed from above the middle to the cuneate base, glabrous, glaucous on the under surface, veins 20-25 pairs, reticulations of veins large, petioles up to 2.5 cm long. Panicles large and spreading, 16-30 cm long, rusty tomentose. Flowers unisexual, sessile, bracteate. Male flowers 1.5 mm in diameter, calyx cupular, densely tomentose, petals oblong, base truncate, tomentose, stamens 5, 1 mm long, disc 5-lobed. Female flowers with hairy ovary, styles 3, recurved. Fruiting panicle up to 45 cm long, with decurved branches. Fruit a drupe on elongated stalk, enclosed wholly in the calyx tube, oblong or ovoid, resinous, acrid, endocarp coriaceous. ","March-July","Rain forests, often near streams.","Sylhet, Chittagong, and Rangamati districts","The resinous, acrid and poisonous juice of the pla"
"29","813","(Houtt.) Merr.","Dialium coromandelicum Houtt., Odina wodier Roxb.","Wodier","A small to medium-sized deciduous tree with thick branchlets. Leaves imparipinnate, 
crowded at the ends of branchlets, leaflets 5-11, opposite, shortly petiolate or nearly sessile, 7.5-15.0 Ã— 5-8 cm, ovate, elliptic or lanceolate. Inflorescence of 15-27 cm long panicles, terminal or axillary. Flowers unisexual, yellowish-green on the branches of slender racemes, subsessile. Male flowers 3 mm across, calyx lobes ovate, ciliate, 1 mm long, petals oblong, 2 Ã— 1 mm, disc 1.5 mm in diameter, 8-notched, stamens 8, 2 mm long. Female flowers with 2.0-2.5 mm long carpels, ovary superior, oblong, 1-celled, ovule 1, styles 4, stigma papillose. Fruit a drupe, up to 1.6 cm long, usually red when ripe, seated on a somewhat enlarged calyx. The leaves fall during the cold weather and the tree remains leafless until March and April. ","February-June","Hill forests and Sal forests including wet soils a","Throughout the country.","A gum exuded from the bark can be used in calico p"
"30","906","L.","","Mango","A medium to large-sized tree, with bole up to 45 m tall and 1 m in diameter, crown dark green, dense and bushy, bark grey-brown, shallow fissured and scaly, evergreen and renews its leaves irregularly at all seasons of the year. Leaves spirally arranged, simple, 8-40 Ã— 2-10 cm, narrowly elliptic
to lanceolate or oblong, base acute, apex blunt, margin often faintly wavy, lateral veins 12-30 pairs, visible on both surfaces, intercostal veins net-like, distinct below, petioles 1.5-10.0 cm long with swollen base. Inflorescence a pyramidal panicle, pseudo-terminal or axillary. Flowers bisexual. Sepals 5. Petals 5, creamish to pinkish with 3-5 ridges on the inner face. Stamen 1, fertile, staminodes 4. Ovary sessile, oblique, 1-locular, style lateral, stigma simple. Fruit a drupe, varies greatly in shape and size, up to 30 Ã— 10 cm, skin yellowish-green to purplish when ripe, pulp pale yellow to orange, with or without fibres, with a sweet to sour taste. Seed 1 per fruit. ","January-June","Homesteads, roadsides, plain lands and agricultura","Throughout the country.","Mango is cultivated for its edible fruits which ca"
"31","907","Griff.","Mangifera sumatrana Miq.","","A medium-sized tree. Leaves petiolate, petioles 1.8-3.7 cm long, lamina 15-25 Ã— 3.7-7.5 cm, oblong or elliptic-lanceolate, with 14-10 pairs of nerves, reticulation obscure above, more distinct beneath, acuminate. Inflorescence usually longer than the leaves, branches widely spreading, pedicels 6 mm long. Flowers 4-5 mm in diameter. Sepals ovate, subacute. Petals white, with yellow veins, very narrow, recurved. Disc broadly conical, papillose, 5-lobed. Stamen 1, much exserted, the imperfect one minute, filaments elongated. Ovary smooth, style lateral, long, slender, ovule obliquely ascending. Fruit a drupe. ","February-November.","Evergreen rain forests","Chittagong","Fruit is edible."
"32","909","Roxb.","","Wild Mango, Forest Mango","A large, evergreen, tall tree with dense globose crown and a cylindrical bole, bark ash-grey or silvery, fissured or irregularly cracked. Leaves simple, lanceolate, coriaceous, glabrous, margin undulated, opaque on both the surfaces, lateral veins more curved. Inflorescence a panicle, about 30 cm long, glabrous. Flowers pinkish-white. Calyx 5, glabrous. Petals 5, acute. Stamen 1, fertile. Carpel solitary, ovary sessile, 1-locular. Fruit a drupe, 7-10 cm long, obliquely tapering, acuminate, slightly compressed, stone fibrous, large. ","January-June","Evergreen hill forests","Cox's Bazar, Chittagong, Sylhet districts, and the","Wood is moderately hard, used for tea-chest, plywo"
"33","1496","J. Sinclair","","","A shrub, branches slender, glabrous, flexible. Leaves simple, alternate, petiolate, elliptic-lanceolate, 10-18 Ã— 3-5 cm, margin entire, apex acuminate, base acute to obtuse, glabrous on both surfaces. Inflorescence simple or branched, axillary or terminal, short, sparsely or minutely brown-pubescent. Male flowers sessile, bracteolate. Sepals 4, free, 1.0-1.5 mm long, imbricate, glabrous, obtuse. Petals 4, free, 2.0-2.5 mm long, white, oblong, imbricate, apex reflexed, margin shortly ciliate, many-nerved. Stamens 4, c 2 mm long, opposite to the sepal, inserted on the disc, filament sparsely pilose. Female flowers and fruits not seen. ","March-April.","Rain forests and near streams","Cox's Bazar",""
"34","1164","Hook.f.","","","A small tree, up to 13.5 m long. Leaves 30-45 cm long, petiolate, pinnate, leaflets 5-12 pairs, often alternate, lanceolate, 7.5-12.5 Ã— 1.5-4.5 cm, acuminate, base obliquely cuneate, serrate or sub-entire, hairy along the midrib and nerves beneath, lateral nerves about 15 on either side of the midrib, very slender, slightly arched. Inflorescence terminal, rather lax. Calyx 5-lobed. Petals free, imbricate, disc fleshy. Stamens inserted at the base of the disc, often lobed. Carpels 3, syncarpous, ovary superior, 1-celled, ovule 1, styles 3, stigmas capitate. Fruit an ovate-orbicular drupe, 7 mm in diameter, compressed, pedicelled, epicarp thin, mesocarp fibrous. ","March-July","Hilly forests.","Chittagong","Timber may be used for making low-cost furniture a"
"35","1166","L.","Rhus acuminata DC., Rhus pubigera Blume, Rhus succ","Wax Tree, Japanese Wax Tree.","A middle-sized deciduous tree, up to 18 m tall. Leaves 17-48 cm long, petioles 9-14 cm long, imparipinnate, crowded at the ends of branches, common petiole swollen at the base, terete, glabrous, leaflets 3-6 pairs, ovate-lanceolate, 6-12 Ã— 2.5-4.5 cm, caudate-acuminate, base cuneate, entire, glabrous to puberulous beneath. Inflorescence axillary, 6-15 cm long, glabrous. Male flowers 1-2 mm in diameter, pedicellate, calyx lobes ovate, obtuse, petals oblong, 0.5 Ã— 1.0 mm in diameter. Female flowers 2.0-3.5 mm in diameter, ovary 0.6 Ã— 1.0 mm, conical, style 3, stigma globose. Fruit a drupe, obliquely ovoid, 5-15 cm long, 5-8 mm in diameter, orbicular-compressed, rugose, glabrous, shining yellow or tan-brown, epicarp thin, bursting irregularly, mesocarp fibrous, enclosing a waxy mass, epicarp separating from mesocarp in ripe fruits. ","January-May.","Evergreen hill forests.","Sylhet","A valuable wax is obtained from mesocarp of its fr"
"36","1217","L.f.","Semecarpus latifolius Pers., Anacardium latifolium","Marking Nut Tree, Oriental Cashew Nut","A small to medium-sized deciduous tree, branchlets, petiole, inflorescence and underside of leaves clothed with fine pale pubescence. Bark exfoliating in roundish scales. Leaves crowded at the end of branches, 22.5-75.0 Ã— 12.5-30.0 cm, very coriaceous, glabrescent above, undersurface velvety tomentose, obovate or elliptic-oblong, generally rounded at the tip, petiole thick, 2.5 cm long. Inflorescence terminal, equalling or shorter than the leaves, stout, branches spreading. Bracts lanceolate. Flowers polygamous, small, fascicled. Petals much longer than the calyx, oblong, greenish-white. Filaments subulate. Fruit a drupe, somewhat obliquely oblong-ovoid, about 2.5 cm long, purplish-black when ripe. ","March-December","Dry deciduous forests","Chittagong Hill Tracts, Sylhet and Mymensingh","The lower part of the fruit is eaten, the upper pa"
"38","1219","King","Semecarpus heterophylla Hook. f.","","A large tree with rough brown bark and glabrous branchlets, up to 15 m tall. Leaves 12.5-30.0 Ã— 3.7-10.0 cm, oblanceolate or obovate-oblong, abruptly acuminate, quite entire, coriaceous, dark green and shining above, petiole 2.0-3.5 cm long, lateral nerves 15-20 on either half, abruptly arched near the margin, otherwise straight, tertiary nerves transverse to the secondary nerves, base very glandular, narrowed to the petiole. Panicles 25-32 cm long, terminal, exceeding the leaves, branched down to the base with thinly pubescent branches. Flowers dioecious. Bracts subulate. Male flowers about 2 mm across, sessile in clusters of  3-8, buds globose, calyx ovate or ovate-oblong, pubescent, ciliolate petals ovate-oblong, glabrous, 1.5 Ã— 0.8 mm, stamens 1 mm long, disc flat, 1 mm in diameter. Female flowers with ovary 1 mm across, densely hairy. Fruit obliquely ovoid or ovoid-oblong, 2.0 Ã— 2.5 cm, hypocarp obconic, 5 mm long, forming a minute podocarp. ","July-February","Evergreen lowland forests.","Sylhet","The black resinous exudate of the plant is poisono"
"39","1221","Wall. ex Hook.f.","","","A tree with stout branchlets, 12-18 m tall. Leaves oblanceolate-obovate, subpanduriform, 19-32 Ã— 6.5-8.5 cm, shortly acuminate, dark on the upper surface, whitish beneath, thinly membranous, petiole 5-10 mm long. Inflorescence terminal, 15-33 cm long, sparsely pubescent. Male flowers 4 mm in diameter, petals ovate, 1.5 Ã— 0.7 mm, stamens 0.2 mm long, disc 1 mm in diameter. Bisexual flowers 6 mm in diameter, ovary superior, conical, 1.5 Ã— 2.0 mm. Fruit a drupe, 1.5 Ã— 2.0 cm, compressed, hypocarp 0.5 Ã— 1.5 cm, glabrous. ","July-October","Hill forests.","Chittagong and Rangamati.","The plant yields timber of inferior quality, may b"
"40","1218","Thw.","Semecarpus gardneri Thw.","Marking Nut Tree","A medium-sized evergreen tree, glabrous, with crowded leafy crown. Leaves simple, alternate, 7-15 Ã— 2.5-5.0 cm, oblong-obovate, base narrowed into a petiole of 1.2-2.5 cm long, forms winged appendages, tip rounded, pale, nerves 6-10 pairs, much arched. Inflorescence short, reduced to racemes. Flowers c 1 cm in diameter. Calyx 5-lobed, imbricate. Petals 5, erect, orbicular, imbricate, yellowish-green. Stamens 5, inserted at the base of the disc, filaments subulate, glabrous, anthers maroon-coloured. Ovary 1-celled, ovule solitary, styles 3, small, stigma clavate.  Fruit a nut, seated on cup-shaped hypocarp, dark green with white dots when young smooth, shining, obliquely rounded with a hooked apiculus. ","July-October","Hill forests.","Cox's Bazar","The fleshy cup at the base of the fruit is reporte"
"41","1254","(L.f.) Kurz","Mangifera pinnata L. f., Spondias mangifera Willd.","Hog Plum","A medium-sized to large tree, glabrous, deciduous with a pleasant smell (from leaves and twigs). Bark greyish, smooth but often with horizontal wrinkles and vertical fissures, blaze in reddish-brown. Leaves imparipinnate, crowded at the ends of branchlets, 30-45 cm long, leaflets 9-13 pairs, 5-25 Ã— 2.5-10.0 cm, elliptic-oblong,  acuminate, entire, membranous, shining, more or less oblique, intra-marginal veins prominent, turning yellow before shedding. Inflorescence of 14-28 cm long panicles, terminal or axillary. Flowers bisexual, polygamous, 5 mm across, subsessile, yellowish-green, scented. Calyx pubescent. Petals 2.5 Ã— 1.0 mm, glabrous. Stamens 1.5-2.0 mm long, disc 1 mm in diameter, deeply 5-lobed, thick, fleshy. Ovary sessile, 2.0-2.5 mm in diameter, obconic-globose, style short, stigma capitate. Fruit a drupe, ovoid, greenish-yellow when ripe, 4-5 cm long. ","February-August","Homesteads, hill forests and Sal forests.","Throughout the country.","Fruit is acidic and edible. The ripe fruits which "
"42","1255","L.","Spondias mombin L., Spondias cytherea Sonnerat, Sp","Hog Plum, Spanish Plum, Red Mombin, Ambarella","A deciduous glabrous tree, up to 25 m high. Leaves alternate, usually crowded at the ends of the branches, rachis 6-12 cm long, petiole 2.5-4.0 cm long, leaflets chartaceous, obliquely elliptic or elliptic-oblong, 2.0-5.5 Ã— 1.0-2.5 cm, puberulous on the midrib, nerves and veins below, and on the midrib above, glabrescent, base obliquely cuneate, apex acute to acuminate, entire, nerves 6-10 pairs. Inflorescence a terminal raceme, appearing before the leaves, up to 4 cm long, slightly puberulous, branches 1 cm long, few-flowered. Bracts 1-2 mm long. Flowers reddish or purplish, polygamous, pedicels 2-4 mm long. Calyx small, 4-5 fid, lobes triangular, slightly imbricate, 0.5 mm long. Petals 4-5, sub-valvate, ovate-oblong, 3-4 Ã— 1-2 mm. Stamens 8-10, inserted beneath the disc, anthers ovoid, 5 mm long. Ovary subglobose, 7 mm long, 4-5 locular, styles 4-5, connivent, ovule solitary, pendulous in each locule. Fruit a fleshy drupe, with a hard, 1-5 celled stone, cells erect or diverging. Seeds pendulous, embryo straight. ","March-October","Dry lands.","Cultivated throughout the country.","The plant is cultivated for its sweet edible fruit"
"43","1285","Griff.","Swintonia griffithii Kurz, Swintonia helferi Hook.","","A lofty evergreen, glabrous tree, the lower part of stem often buttressed which may extend to a height of 7 m or more. Bark greyish, smooth with shallow vertical fissures, blaze pinkish. Leaves crowded towards ends of the branchlets, lanceolate, 10-15 cm long, thin, coriaceous and glossy green above, glaucous beneath, petiole very slender, 2.5-4.0 cm long. Inflorescence of 15-30 cm long panicles, terminal or axillary, profusely branched, glabrous. Bisexual flowers 3-4 mm across, pale-yellow. Calyx lobes 1 mm long. Petals ovate-oblong, 2 Ã— 1 mm, puberulous on both sides, disc elongate, 0.5 Ã— 0.8 mm. Stamens 2-3 mm long, anthers oblong. Ovary subconical, 1 mm in diameter, style 1.5 mm long, simple, stigma disciform. Male flowers elongate, 2.5 Ã— 1.5 mm. Fruit a drupe, unripe fruit sessile, seated on 5 oblong-linear, reflexed, about 5 cm long, longitudinally-veined, purplish, wing-shaped petals. ","February-May","Evergreen hill forests","Cox's Bazar and Chittagong districts and the Chitt","The wood is suitable for tea-chest plywood, flash "
"44","80","(Loureiro) Merrill","Bembix tectoria Loureiro, Ancistrocladus carallioi","","Scandent shrubs or trees, up to 10 m high; branches sympodial with a series of circinate woody hooks. Stipules tiny, mostly caducous with saddlelike scars on branches; Leaves crowded mostly immediately above the second hook, at the end of branchlets, sessile, blades elliptic to obovate-oblong, 7-30 Ã— 3-5 cm, leathery, both surfaces frequently with small, white, orbicular pits, tapering towards the base, apex obtuse, acute or acuminate; nerves 4-8 pairs, midnerve abaxially prominent, impressed adaxially, lateral and reticulate tertiary veins tenuous, slightly prominent on both surfaces. Inflorescence panicle, between the crowded leaves, rarely lateral in the place of a tendril, dichotomously branched, 8-15 cm long. Bracts triangular to ovate, 0.2-2.4 Ã— 0.2-1.5 mm, abaxially eglandular or with 1 or 2 circular glands, margin fimbriate-erose, apex acute. Pedicel 0.3-3.0 mm. Sepals 5, slightly unequal, suborbicular to elliptic-oblong, 3.2-5.5 mm, imbricate, at base shortly decurrent on ovary, outside eglandular or with 1-4 shallowly cupular glands below middle, inside with white orbicular small pits near base, apex rounded. Petals 5, connate basally, suborbicular to obliquely elliptic, 5-6 mm, apex acute, margins usually involute. Stamens in 1 whorl, 5 longer than others; filaments wider basally, dimorphic: shorter ones 0.3-1.2 mm, longer ones 1.1-2 mm. Ovary consisting of three carpels, fully inferior, 1 ovule per cell, basal, ascending with 2 integuments; styles 3, erect, ca. 1 mm; stigmas ca. 0.2 mm. Nut obconic, sides 5-ridged by decurrent margins of accrescent sepals, 5-9 Ã— 5-10 mm in diam.; persistent sepals spreading, narrowly oblong-cuneate to spathulate, unequal, larger 3 sepals 3.3-5.5 Ã— 1.0-2.0 cm, smaller 2 sepals 2-3(-4) Ã— 0.5-1.2(-1.8) cm, veined, apex rounded. Seeds obconical with flat apex ca. 5 mm long. ","April-September.","Tropical evergreen forests.","Moulvibazar",""
"45","81","Planch.","Ancistrocladus stelligerus Wall. ex Planch.","","A climbing shrub with supra-axillary circinate hooks. Leaves simple, alternate, sessile, linear or linear-elliptic, more than 4 times as long as wide, up to 50.0 Ã— 7.5 cm, entire, acuminate or acute, gradually narrowed to the subauricled base, midrib prominent beneath. Inflorescence a panicle, terminal or lateral. Flowers small, bisexual. Sepals 5, united into a basal tube, lobes imbricated, finally enlarged in the fruits. Petals 5, free, contorted. Stamens 10, filaments 1-2 mm long, connate at the base, anthers basifixed, 2-celled. Carpels 3, united into 1-celled inferior ovary, styles 3, ovule 1. Fruit nut-like, with enlarged subequal spreading calyx. Seeds sub-globose. ","January-May","Hill forests.","Khagrachari, Rangamati, Sylhet and Chittagong.",""
"46","64","Hook.f. & Thom.","Uvaria lutea Roxb.","","A tree, stem glabrous, young branches brown pubescent.  Leaves with petiole 3-5 mm long, lamina 7.5-12.0 Ã— 3.5-6.0 cm, ovate-oblong, base rounded, obtusely acuminate, glabrous, pale and conspicuously nerved beneath with puberulous nerves and midrib. Inflorescence in dense leaf-opposed fascicles. Flowers subcapitate, peduncle very short, pedicels densely brown tomentose. Sepals orbicular. Petals 10-12 mm long, ovate, densely tomentose. Ovaries about 10, densely villous, style oblong. Ripe carpels 2.5-3.0 cm long, broadly ovoid, obtuse at both ends, tomentose, subsessile, stalk very short. ","April-June","Plain lands.","","The aromatic pulp of the ripe fruit is eaten."
"47","66","Hook.f. & Thom.","Uvaria ventricosa Roxb.","","A lofty tree, stem glabrous, young branches brown tomentose. Leaves with petiole 1.0-1.5 cm long, puberulous, lamina 15-25 Ã— 3.5-10.0 cm, narrow, oblong, base rounded, long acuminate, glabrous, pubescent on the midrib, shining above, pale and conspicuously veined beneath. Flowers numerous, in fascicled short racemes, greenish-white, odorous, racemes tomentose. Pedicels 1.0-2.5 cm long, with an ovate median and basal bracteole. Sepals small, broadly ovate, connate below. Petals c 1 cm long, ovate-oblong, brown-tomentose outside. Carpels about 10, villous, style oblong. Ripe carpels 2.5-3.5 cm in diameter, ovoid or sub-globose, tomentose, long-stalked.","April-October","Hill forests.","Chittagong","The aromatic pulp of the ripe fruit is eaten."
"48","86","L.","","Soursop","A small tree, stem glabrous, young branches hairy. Leaves petiolate, petiole 4-13 mm long, lamina 8-16 Ã— 3.1-6.8 cm, oblong-obovate, acute to shortly acuminate, glossy dark green and glabrous above, paler and minutely hairy to glabrous below. Inflorescence leaf-opposed or extra-axillary, 1-2 flowered. Peduncle 2-5 mm long, woody. Pedicels 1.5-2.0 cm long. Bracteoles deltoid, densely hairy. Petals thick, outer one 2.8-3.3 Ã— 2.1-2.5 cm, broadly ovate, acute to acuminate, cordate, valvate, inner ones 2.5-2.8 Ã— 1.8-2.0 cm, ovate, obtuse, cuneate, imbricate, receptacle conical, hairy. Stamens 4-5 cm long, narrowly cuneate, connective tip truncate, anther locules unequal. Carpels linear, broadly connate, ovary covered with dense reddish-brown hairs, style short, stigma truncate. Fruit ovoid, echinate, 25-30 Ã— 15-20 cm, dark green, spines curved and fleshy, pulp white, juicy and aromatic. ","February-September","Plain lands and also high lands.","Cultivated throughout the country.","Fully ripe fruits are eaten fresh as dessert, mixe"
