"ID_AE","ID_RD","Population","Tree_type","Vegetation_type","Country","Division","District","Upazila","Union","location_notes","Latitude","Longitude","BFI_zone","FAO_biome","WWF_Eco_zone","X","Unit_X","Z","Unit_Z","W","Unit_W","U","Unit_U","V","Unit_V","Mean_X","Min_X","Max_X","Mean_Z","Min_Z","Max_Z","Mean_W","Min_W","Max_W","Output","Output_TR","Unit_Y","Min_age","Max_age","Av_age","B","Bd","Bg","Bt","L","Rb","Rf","Rm","S","T","F","Family","Genus","Species","Subspecies","Species_local_name_latin","Species_local_name_iso","Equation","Sample_size","Top_dob","Top_girth_over_bark","Stump_height","Reference","Label","R2","R2_Adjusted","Corrected_for_bias","MSE","RMSE","SEY","SEE","AIC","FI","Bias_correction","Ratio_equation","Segmented_equation","Contributor","Operator","Remark","Contact","Verified"
11,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"","0","0",6,99,3,"DBH","cm","H","m","NA","NA","NA","NA","NA","NA","NA","5","25","NA","6","18","NA","NA","NA","Green Biomass","Log","kg","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA",,"NA",49,376,1222,"NA","Minjiri","NA","Y = -3.2955 + 1.3142 * Log (X) + 1.0521 * Log (Z)",120,"NA","NA","0.1",101,1,0.5855,"NA","NA","0.3355","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Conversion factor green biomass to oven dry biomass","mahmoodhossain@hotmail.com","verified"
12,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"","0","0",6,99,3,"C","cm","H","m","NA","NA","NA","NA","NA","NA","NA","16","79","NA","6","18","NA","NA","NA","Green Biomass","Log","kg","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA",,"NA",49,376,1222,"NA","Minjiri","NA","Y = -4.7999 + 1.3142 * Log (X) + 1.0521 * Log (Z)",120,"NA","NA","0.1",101,1,0.5855,"NA","NA","0.3355","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Conversion factor green biomass to oven dry biomass","mahmoodhossain@hotmail.com","verified"
13,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"","0","0",6,99,3,"DBH","cm","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","25","NA","NA","NA","NA","NA","NA","Green Biomass","Log","kg","NA","NA","NA","NA","NA","NA","1","1","NA","NA","NA","NA",,"NA",49,376,1222,"NA","Minjiri","NA","Y = -2.1219 + 1.9299 * Log (X)",120,"NA","NA","0.1",101,1,0.7614,"NA","NA","0.1568","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","NA","mahmoodhossain@hotmail.com","verified"
14,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"","0","0",6,99,3,"C","cm","NA","NA","NA","NA","NA","NA","NA","NA","NA","16","79","NA","NA","NA","NA","NA","NA","Green Biomass","Log","kg","NA","NA","NA","NA","NA","NA","1","1","NA","NA","NA","NA",,"NA",49,376,1222,"NA","Minjiri","NA","Y = -4.3311 + 1.9299 * Log (X)",120,"NA","NA","0.1",101,1,0.7614,"NA","NA","0.1568","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","NA","mahmoodhossain@hotmail.com","verified"
15,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"","0","0",6,99,3,"DBH","cm","H","m","NA","NA","NA","NA","NA","NA","NA","5","25","NA","6","18","NA","NA","NA","Green Biomass","Log","kg","NA","NA","NA","NA","NA","NA","1","1","NA","NA","NA","NA",,"NA",49,376,1222,"NA","Minjiri","NA","Y = -0.6183 + 2.8726 * Log (X) - 1.5471 * Log (Z)",120,"NA","NA","0.1",101,1,0.8209,"NA","NA","0.098","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","NA","mahmoodhossain@hotmail.com","verified"
16,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"","0","0",6,99,3,"C","cm","H","m","NA","NA","NA","NA","NA","NA","NA","16","79","NA","6","18","NA","NA","NA","Green Biomass","Log","kg","NA","NA","NA","NA","NA","NA","1","1","NA","NA","NA","NA",,"NA",49,376,1222,"NA","Minjiri","NA","Y = -3.9067 + 2.8726 * Log (X) - 1.5471 * Log (Z)",120,"NA","NA","0.1",101,1,0.8209,"NA","NA","0.098","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","NA","mahmoodhossain@hotmail.com","verified"
17,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"","0","0",6,99,3,"DBH","cm","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","25","NA","NA","NA","NA","NA","NA","Green Biomass","Log","kg","NA","NA","NA","1","NA","1","NA","NA","NA","NA","NA","NA",1,"NA",49,376,1222,"NA","Minjiri","NA","Y = -2.0512 + 2.6006 * Log (X)",120,"NA","NA","0.1",101,1,0.9641,"NA","NA","0.0339","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Equations with DBH is more suitable than equations with DBH and H","mahmoodhossain@hotmail.com","verified"
18,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"","0","0",6,99,3,"C","cm","NA","NA","NA","NA","NA","NA","NA","NA","NA","16","79","NA","NA","NA","NA","NA","NA","Green Biomass","Log","kg","NA","NA","NA","1","NA","1","NA","NA","NA","NA","NA","NA",1,"NA",49,376,1222,"NA","Minjiri","NA","Y = -5.0282 + 2.6006 * Log (X)",120,"NA","NA","0.1",101,1,0.9641,"NA","NA","0.0339","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Equations with DBH is more suitable than equations with DBH and H","mahmoodhossain@hotmail.com","verified"
19,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"","0","0",6,99,3,"DBH","cm","H","m","NA","NA","NA","NA","NA","NA","NA","5","25","NA","6","18","NA","NA","NA","Green Biomass","Log","kg","NA","NA","NA","1","NA","1","NA","NA","NA","NA","NA","NA",1,"NA",49,376,1222,"NA","Minjiri","NA","Y = -2.9256 + 2.0525 * Log (X) + 0.8996 * Log (Z)",120,"NA","NA","0.1",101,1,0.9785,"NA","NA","0.0201","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Equations with DBH is more suitable than equations with DBH and H","mahmoodhossain@hotmail.com","verified"
20,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"","0","0",6,99,3,"C","cm","H","m","NA","NA","NA","NA","NA","NA","NA","16","79","NA","6","18","NA","NA","NA","Green Biomass","Log","kg","NA","NA","NA","1","NA","1","NA","NA","NA","NA","NA","NA",1,"NA",49,376,1222,"NA","Minjiri","NA","Y = -5.2752 + 2.0525 * Log (X) + 0.8996 * Log (Z)",120,"NA","NA","0.1",101,1,0.9785,"NA","NA","0.0201","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Equations with DBH is more suitable than equations with DBH and H","mahmoodhossain@hotmail.com","verified"
21,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"","0","0",6,99,3,"DBH","cm","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","25","NA","NA","NA","NA","NA","NA","Green Biomass","Log","kg","NA","NA","NA","NA","NA","1","1","1","NA","NA","NA","NA",,"NA",49,376,1222,"NA","Minjiri","NA","Y = -2.5173 + 2.281 * Log (X)",120,"NA","NA","0.1",101,1,0.8098,"NA","NA","0.1641","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Equations with DBH is more suitable than equations with DBH and H","mahmoodhossain@hotmail.com","verified"
22,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"","0","0",6,99,3,"C","cm","NA","NA","NA","NA","NA","NA","NA","NA","NA","16","79","NA","NA","NA","NA","NA","NA","Green Biomass","Log","kg","NA","NA","NA","NA","NA","1","1","1","NA","NA","NA","NA",,"NA",49,376,1222,"NA","Minjiri","NA","Y = -5.1284 + 8.281 * Log (X)",120,"NA","NA","0.1",101,1,0.8098,"NA","NA","0.1641","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Equations with DBH is more suitable than equations with DBH and H","mahmoodhossain@hotmail.com",""
23,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"","0","0",6,99,3,"DBH","cm","H","m","NA","NA","NA","NA","NA","NA","NA","5","25","NA","6","18","NA","NA","NA","Green Biomass","Log","kg","NA","NA","NA","NA","NA","1","1","1","NA","NA","NA","NA",,"NA",49,376,1222,"NA","Minjiri","NA","Y = -2.9974 + 1.98 * Log (X) + 0.494 * Log (Z)",120,"NA","NA","0.1",101,1,0.8115,"NA","NA","0.1613","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Equations with DBH is more suitable than equations with DBH and H","mahmoodhossain@hotmail.com","verified"
24,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"","0","0",6,99,3,"C","cm","H","m","NA","NA","NA","NA","NA","NA","NA","16","79","NA","6","18","NA","NA","NA","Green Biomass","Log","kg","NA","NA","NA","NA","NA","1","1","1","NA","NA","NA","NA",,"NA",49,376,1222,"NA","Minjiri","NA","Y = -5.264 + 1.98 * Log (X) + 0.494 * Log (Z)",120,"NA","NA","0.1",101,1,0.8115,"NA","NA","0.1613","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Equations with DBH is more suitable than equations with DBH and H","mahmoodhossain@hotmail.com","verified"
25,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"Noakhali, Bhola, Patuakhali","0","0",1,99,3,"DBH","cm","NA","NA","NA","NA","NA","NA","NA","NA","NA","9","43","NA","NA","NA","NA","NA","NA","Volume","NA","m3","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA",51,384,1244,"NA","Keora","NA","Y= -0.0306 + 0.000558967 * X^(2)",713,"NA","NA","NA",102,2,0.927,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","NA","mahmoodhossain@hotmail.com",""
26,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"Noakhali, Bhola, Patuakhali","0","0",1,99,3,"C","cm","NA","NA","NA","NA","NA","NA","NA","NA","NA","28","135","NA","NA","NA","NA","NA","NA","Volume","NA","m3","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA",51,384,1244,"NA","Keora","NA","Y = -0.0306 + 0.00005664 * X^(2)",713,"NA","NA","NA",102,2,0.927,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","NA","mahmoodhossain@hotmail.com",""
27,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"Noakhali, Bhola, Patuakhali","0","0",1,99,3,"DBH","cm","NA","NA","NA","NA","NA","NA","NA","NA","NA","9","43","NA","NA","NA","NA","NA","NA","Volume","NA","m3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA",51,384,1244,"NA","Keora","NA","Y = -0.0332 + 0.0004922 * X^(2)",713,"7","NA","NA",102,2,0.944,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","NA","mahmoodhossain@hotmail.com",""
28,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"Noakhali, Bhola, Patuakhali","0","0",1,99,3,"C","cm","NA","NA","NA","NA","NA","NA","NA","NA","NA","28","135","NA","NA","NA","NA","NA","NA","Volume","NA","m3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA",51,384,1244,"NA","Keora","NA","Y = -0.0332 + 0.00004986 * X^(2)",713,"7","NA","NA",102,2,0.944,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","NA","mahmoodhossain@hotmail.com",""
29,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"Noakhali, Bhola, Patuakhali","0","0",1,99,3,"DBH","cm","H","m","NA","NA","NA","NA","NA","NA","NA","9","43","NA","6","22","NA","NA","NA","Volume","NA","m3","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA",51,384,1244,"NA","Keora","NA","Y = 0.0117 + 0.0000280056 * X^(2) * Z",713,"NA","NA","NA",102,2,0.912,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","NA","mahmoodhossain@hotmail.com","verified"
30,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"Noakhali, Bhola, Patuakhali","0","0",1,99,3,"C","cm","H","m","NA","NA","NA","NA","NA","NA","NA","28","135","NA","6","22","NA","NA","NA","Volume","NA","m3","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA",51,384,1244,"NA","Keora","NA","Y = 0.0117 + 0.00000283756 * X^(2) * Z",713,"NA","NA","NA",102,2,0.912,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","NA","mahmoodhossain@hotmail.com","verified"
31,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"Noakhali, Bhola, Patuakhali","0","0",1,99,3,"DBH","cm","H","m","NA","NA","NA","NA","NA","NA","NA","9","43","NA","6","22","NA","NA","NA","Volume","NA","m3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA",51,384,1244,"NA","Keora","NA","Y = 0.0041 + 0.0000246325 * X^(2) * Z",713,"7","NA","NA",102,2,0.937,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","NA","mahmoodhossain@hotmail.com","verified"
32,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"Noakhali, Bhola, Patuakhali","0","0",1,99,3,"C","cm","H","m","NA","NA","NA","NA","NA","NA","NA","28","135","NA","6","22","NA","NA","NA","Volume","NA","m3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA",51,384,1244,"NA","Keora","NA","Y = 0.0041 + 0.00000249579 * X^(2) * Z",713,"7","NA","NA",102,2,0.937,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","NA","mahmoodhossain@hotmail.com","verified"
33,"NA","Individual","Tree","Plantation","Bangladesh",20,2015,,,"","22.33047","91.82528",1,23,2,"DBH","cm","NA","NA","NA","NA","NA","NA","NA","NA","NA","10","30","NA","NA","NA","NA","NA","NA","Volume","NA","m3","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA",51,384,1244,"NA","Keora","NA","Y = -0.02288 + 0.0004998 * X^(2)",362,"NA","NA","NA",102,2,0.853,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","NA","mahmoodhossain@hotmail.com",""
34,"NA","Individual","Tree","Plantation","Bangladesh",20,2015,,,"","22.33047","91.82528",1,23,2,"C","cm","NA","NA","NA","NA","NA","NA","NA","NA","NA","31","94","NA","NA","NA","NA","NA","NA","Volume","NA","m3","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA",51,384,1244,"NA","Keora","NA","Y = -0.02288 + 0.0000506 * X^(2)",362,"NA","NA","NA",102,2,0.853,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","NA","mahmoodhossain@hotmail.com",""
35,"NA","Individual","Tree","Plantation","Bangladesh",20,2015,,,"","22.33047","91.82528",1,23,2,"DBH","cm","NA","NA","NA","NA","NA","NA","NA","NA","NA","10","30","NA","NA","NA","NA","NA","NA","Volume","NA","m3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA",51,384,1244,"NA","Keora","NA","Y = -0.0256 + 0.0004355 * X^(2)",362,"7","NA","NA",102,2,0.949,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","NA","mahmoodhossain@hotmail.com",""
36,"NA","Individual","Tree","Plantation","Bangladesh",20,2015,,,"","22.33047","91.82528",1,23,2,"C","cm","NA","NA","NA","NA","NA","NA","NA","NA","NA","31","94","NA","NA","NA","NA","NA","NA","Volume","NA","m3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA",51,384,1244,"NA","Keora","NA","Y = -0.0256  + 0.0000441 * X^(2)",362,"7","NA","NA",102,2,0.949,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","NA","mahmoodhossain@hotmail.com",""
37,"NA","Individual","Tree","Plantation","Bangladesh",20,2015,,,"","22.33047","91.82528",1,23,2,"DBH","cm","H","m","NA","NA","NA","NA","NA","NA","NA","10","30","NA","6","18","NA","NA","NA","Volume","NA","m3","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA",51,384,1244,"NA","Keora","NA","Y = 0.0073 + 0.00003324 * X^(2) * Z",362,"NA","NA","NA",102,2,0.811,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","NA","mahmoodhossain@hotmail.com",""
38,"NA","Individual","Tree","Plantation","Bangladesh",20,2015,,,"","22.33047","91.82528",1,23,2,"C","cm","H","m","NA","NA","NA","NA","NA","NA","NA","31","94","NA","6","18","NA","NA","NA","Volume","NA","m3","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA",51,384,1244,"NA","Keora","NA","Y = 0.0073 + 0.000003368 * X^(2) * Z",362,"NA","NA","NA",102,2,0.811,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","NA","mahmoodhossain@hotmail.com",""
39,"NA","Individual","Tree","Plantation","Bangladesh",20,2015,,,"","22.33047","91.82528",1,23,2,"DBH","cm","H","m","NA","NA","NA","NA","NA","NA","NA","10","30","NA","6","18","NA","NA","NA","Volume","NA","m3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA",51,384,1244,"NA","Keora","NA","Y = -0.00088 + 0.0000297 * X^(2) * Z",362,"7","NA","NA",102,2,0.918,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","NA","mahmoodhossain@hotmail.com",""
40,"NA","Individual","Tree","Plantation","Bangladesh",20,2015,,,"","22.33047","91.82528",1,23,2,"C","cm","H","m","NA","NA","NA","NA","NA","NA","NA","31","94","NA","6","18","NA","NA","NA","Volume","NA","m3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA",51,384,1244,"NA","Keora","NA","Y = -0.00088 + 0.0000030128 * X^(2) * Z",362,"7","NA","NA",102,2,0.918,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","NA","mahmoodhossain@hotmail.com",""
41,"NA","Individual","Tree","Plantation","Bangladesh",20,,,,"Chittagong, Noakhali","0","0",1,11,2,"DBH","cm","NA","NA","NA","NA","NA","NA","NA","NA","NA","10","28","NA","NA","NA","NA","NA","NA","Volume","NA","m3","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA",103,46,140,"NA","Baen","NA","Y = -0.0049 + 0.00035 * X^(2)",308,"NA","NA","NA",103,3,0.79,"NA","NA","0.00039","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","NA","mahmoodhossain@hotmail.com",""
42,"NA","Individual","Tree","Plantation","Bangladesh",20,,,,"Chittagong, Noakhali","0","0",1,11,2,"C","cm","NA","NA","NA","NA","NA","NA","NA","NA","NA","31","88","NA","NA","NA","NA","NA","NA","Volume","NA","m3","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA",103,46,140,"NA","Baen","NA","Y = -0.0049 + 0.0000355 * X^(2)",308,"NA","NA","NA",103,3,0.79,"NA","NA","0.00039","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","NA","mahmoodhossain@hotmail.com",""
43,"NA","Individual","Tree","Plantation","Bangladesh",20,,,,"Chittagong, Noakhali","0","0",1,11,2,"DBH","cm","NA","NA","NA","NA","NA","NA","NA","NA","NA","10","28","NA","NA","NA","NA","NA","NA","Volume","NA","m3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA",103,46,140,"NA","Baen","NA","Y = -0.0088 + 0.000321 * X^(2)",308,"7","NA","NA",103,3,0.76,"NA","NA","0.00038","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","NA","mahmoodhossain@hotmail.com",""
