plot_plot_id,subplot_subp_id,bamboo_id,bamboo_lf,bamboo_sp_code,bamboo_sp_scientific_name,bamboo_sp_vernacular_name,bamboo_sp_language_code,bamboo_sp_language_variety,bamboo_bear,bamboo_bear_unit_name,bamboo_dist,bamboo_dist_unit_name,bamboo_lgt,bamboo_lgt_method,bamboo_lgt_method_label,bamboo_dia,bamboo_number,bamboo_notes
226,4,1,1,POA/Mel/bac,Melocanna baccifera,,,,24,,5.2,,5.6,1,Laser Range Finder,1.3,10,
226,4,2,1,POA/Mel/bac,Melocanna baccifera,,,,125,,5,,5.1,1,Laser Range Finder,1.3,18,
303,1,1,1,POA/Bam/vul,Bambusa vulgaris,,,,270,,4.51,,10,1,Laser Range Finder,4.4,2,
303,2,1,1,POA/Bam/jai,Bambusa jaintiana,,,,105,,7,,12.2,1,Laser Range Finder,6.6,9,
318,4,1,1,POA/Bam/vul,Bambusa vulgaris,,,,90,,0.5,,9.3,1,Laser Range Finder,3.3,214,
317,2,1,1,POA/Bam/bur,Bambusa burmanica,,,,21,,5.84,,2.5,1,Laser Range Finder,1.3,11,
317,2,2,1,POA/Bam/jai,Bambusa jaintiana,,,,187,,7.9,,4.5,1,Laser Range Finder,3.1,2,
317,2,3,1,POA/Bam/bur,Bambusa burmanica,,,,210,,7.6,,4.6,1,Laser Range Finder,2.6,5,
317,4,1,2,POA/Bam/bam,Bambusa bambos,,,,87,,7.9,,4.1,1,Laser Range Finder,2.2,2,
306,3,1,1,POA/Sch/dul,Schizostachyum dullooa,,,,15,,7.8,,4.3,1,Laser Range Finder,1.9,36,
306,3,2,1,POA/Sch/dul,Schizostachyum dullooa,,,,25,,4.1,,3.1,1,Laser Range Finder,1.3,13,
306,3,3,1,POA/Sch/dul,Schizostachyum dullooa,,,,275,,7.9,,11.1,1,Laser Range Finder,2.1,4,
312,1,1,1,POA/Mel/bac,Melocanna baccifera,,,,125,,6.5,,2.1,1,Laser Range Finder,1.4,11,
312,2,1,1,POA/Mel/bac,Melocanna baccifera,,,,220,,3.6,,1.6,1,Laser Range Finder,1.2,28,
312,2,2,1,POA/Mel/bac,Melocanna baccifera,,,,140,,1.8,,1.7,1,Laser Range Finder,1.2,23,
312,2,3,1,POA/Mel/bac,Melocanna baccifera,,,,350,,0.6,,2.1,1,Laser Range Finder,1.1,16,
312,2,4,1,POA/Mel/bac,Melocanna baccifera,,,,90,,3.4,,1.5,1,Laser Range Finder,1.1,3,
312,2,5,1,POA/Mel/bac,Melocanna baccifera,,,,88,,4.5,,1.7,1,Laser Range Finder,1.2,11,
312,2,6,1,POA/Mel/bac,Melocanna baccifera,,,,50,,4.4,,1.8,1,Laser Range Finder,1.4,21,
312,2,7,1,POA/Mel/bac,Melocanna baccifera,,,,35,,4.35,,1.4,1,Laser Range Finder,1.3,17,
312,2,8,1,POA/Mel/bac,Melocanna baccifera,,,,340,,4.5,,1.3,1,Laser Range Finder,1.2,14,
312,3,1,1,POA/Mel/bac,Melocanna baccifera,,,,250,,5.7,,3.3,1,Laser Range Finder,1.5,21,
312,3,2,1,POA/Mel/bac,Melocanna baccifera,,,,325,,6.3,,3.1,1,Laser Range Finder,1.4,18,
312,3,3,1,POA/Mel/bac,Melocanna baccifera,,,,80,,6.6,,4.3,1,Laser Range Finder,2.1,31,
312,3,4,1,POA/Mel/bac,Melocanna baccifera,,,,89,,5.2,,4.1,1,Laser Range Finder,1.3,56,
