"ID_Reference","Reference","Author","Year","Title","Journal","Volume","Issue","Page","URL","PDF_label"
118,"Ullah, M.R., Banik, G.R., RajibBanik. (2014). Developing Allometric Models for Carbon Stock Estimation in Eighteen Year Old Plantation Forests of Bangladesh. Jacobs Journal of Microbiology and Pathology 1(1):6.","Ullah, M.R., Banik, G.R., RajibBanik.","2014","Developing Allometric Models for Carbon Stock Estimation in Eighteen Year Old Plantation Forests of Bangladesh.","Jacobs Journal of Microbiology and Pathology",1,1,"6","","18"
119,"Deb, J.C., Halim, M.A., Ahmed, E. (2012). An allometric equation for estimating stem biomass of Acacia auriculiformis in the north-eastern region of Bangladesh. Southern Forests 74(2):103–113.","Deb, J.C., Halim, M.A., Ahmed, E.","2012","An allometric equation for estimating stem biomass of Acacia auriculiformis in the north-eastern region of Bangladesh.","Southern Forests",74,2,"103–113","","19"
120,"Islam, S.S., Kabir, J., Masum, A.K.M. (2012). Volume Table of Raintree (Samanea saman) in Bangladesh by Regression Technique. Open Journal of Statistics 2():115-119.","Islam, S.S., Kabir, J., Masum, A.K.M.","2012","Volume Table of Raintree (Samanea saman) in Bangladesh by Regression Technique.","Open Journal of Statistics",2,,"115-119","","20"
121,"Hossain, S.M.Y., Martin, A.R. (2013). Merchantable timber production in Dalbergia sissoo plantations across Bangladesh: regional patterns, management practices and edaphic factors. Journal of Tropical Forest Science 25(3):299-309.","Hossain, S.M.Y., Martin, A.R.","2013","Merchantable timber production in Dalbergia sissoo plantations across Bangladesh: regional patterns, management practices and edaphic factors.","Journal of Tropical Forest Science",25,3,"299-309","","21"
122,"Alamgir, M., Al-Amin, M. (2008). Allometric models to estimate biomass organic carbon stock in forest vegetation.  19(2):101-106.","Alamgir, M., Al-Amin, M.","2008","Allometric models to estimate biomass organic carbon stock in forest vegetation. Journal of Forestry Research","",19,2,"101-106","","22"
123,"Latif M.A., Habib, M.A. (1994). Biomass tables for Acacia mangium grown in the plantations in Bangladesh. Journal of Tropical Forest Science 7(2): 296- 302.","Latif M.A., Habib, M.A.","1994","Biomass tables for Acacia mangium grown in the plantations in Bangladesh.","Journal of Tropical Forest Science",7,2,"296- 302","","23"
124,"Sarker, S.K., Das, N., Chowdhury, M.Q., Haque, M.M. (2013). Sarker, S.K., Das, N., Chowdhury, M.Q., Haque, M.M. (2013). 124 Southern Forests 75(1):51-57. Southern Forests 75(1):51-57.","Sarker, S.K., Das, N., Chowdhury, M.Q., Haque, M.M.","2013","Developing allometric equations for estimating leaf area and leaf biomass of Artocarpus chaplasha in Raghunandan Hill Reserve, Bangladesh.","Southern Forests",75,1,"51-57","","24"
125,"Das, N. (2014). Modeling Develops to Estimate Leaf Area and Leaf Biomass of Lagerstroemia speciosa in West Vanugach Reserve Forest of Bangladesh. ISRN Forestry, doi. org/10.1155/2014/ 486478","Das, N.","2014","Modeling Develops to Estimate Leaf Area and Leaf Biomass of Lagerstroemia speciosa in West Vanugach Reserve Forest of Bangladesh.","ISRN Forestry, doi. org/10.1155/2014/ 486478",,,"","","25"
126,"Roy, B. (2012). Species-specific allometric models for estimation of aboveground stem biomass of three dominant tree species at Satchari National park. Unpublished MS thesis. Department of Forestry and Environmental Science, ShahJalal University of Science and Technology","Roy, B.","2012","Species-specific allometric models for estimation of aboveground stem biomass of three dominant tree species at Satchari National park. Unpublished MS thesis. Department of Forestry and Environmental Science, ShahJalal University of Science and Technology","",,,"","","26"
127,"Sylvander, R., Latif, M.A., Karlsson, A. (2001). Forest inventory of the Sal forest of Bangladesh, Volume 1, Technical Report, Forestry Sector Project, Forest Department, Ministry of Environment and Forest, Dhaka","Sylvander, R., Latif, M.A., Karlsson, A.","2001","Forest inventory of the Sal forest of Bangladesh, Volume 1, Technical Report, Forestry Sector Project, Forest Department, Ministry of Environment and Forest, Dhaka","",,,"","","27"
128,"Islam, S.M.Z., Khan, M.I. Ahmed, K.U. (2012). Volume equations and tables for Rajkoroi (Albizia richardiana King and Prain) planted in the southern part of Bangladesh. Bangladesh Journal of Forest Science 32:28-39.","Islam, S.M.Z., Khan, M.I. Ahmed, K.U.","2012","Volume equations and tables for Rajkoroi (Albizia richardiana King and Prain) planted in the southern part of Bangladesh.","Bangladesh Journal of Forest Science",32,,"28-39","","28"
129,"Davidson, J., Das, S., Khan, S.A., Latif, M.A., Zashimuddin, M. (1985). Tree volume tables for small Eucalypt round wood in Bangladesh. Bulletin no 4, Silviculturer Research Division, Bangladesh Forest research Institute, Chittagong.","Davidson, J., Das, S., Khan, S.A., Latif, M.A., Zashimuddin, M.","1985","Tree volume tables for small Eucalypt round wood in Bangladesh.","Bulletin no 4, Silviculturer Research Division, Bangladesh Forest research Institute, Chittagong",,,"","","29"
130,"Latif, M.A., Islam, M.N. (1984). Tree volume volume tables for Syzygium grande (Wt.) Wald (Dhakijam). In: Choudhury, J.H., and Davidson, J. (eds.), Tree volume tables for four species grown in plantation in Bangladesh. Bulletin 2, Inventory Division, Bangladesh Forest Research institute, Chittagong.","Latif, M.A., Islam, M.N.","1984","Tree volume volume tables for Syzygium grande (Wt.) Wald (Dhakijam). In: Choudhury, J.H., and Davidson, J. (eds.), Tree volume tables for four species grown in plantation in Bangladesh. Bulletin 2, Inventory Division, Bangladesh Forest Research institute.","",,,"","","30"
131,"Latif, M.A., Islam, M.N. (1984). Tree volume tables for Artocarpus chaplasha Roxb. (Chapalish). In: Choudhury, J.H., and Davidson, J. (eds.), Tree volume tables for four species grown in plantation in Bangladesh. Bulletin 2, Inventory Division, Bangladesh Forest Research institute, Chittagong.","Latif, M.A., Islam, M.N.","1984","Tree volume tables for Artocarpus chaplasha Roxb. (Chapalish). In: Choudhury, J.H., and Davidson, J. (eds.), Tree volume tables for four species grown in plantation in Bangladesh. Bulletin 2, Inventory Division, Bangladesh Forest Research institute. Chitt","",,,"","","31"
132,"Latif, M.A., Islam, M.N. Choudhury, J.H. (1984). Tree volume tables for Gmelina arborea Roxb. (Gamar). In: Choudhury, J.H., and Davidson, J. (eds.), Tree volume tables for four species grown in plantation in Bangladesh. Bulletin 2, Inventory Division, Bangladesh Forest Research institute, Chittagong.","Latif, M.A., Islam, M.N. Choudhury, J.H.","1984","Tree volume tables for Gmelina arborea Roxb. (Gamar). In: Choudhury, J.H., and Davidson, J. (eds.), Tree volume tables for four species grown in plantation in Bangladesh. Bulletin 2, Inventory Division, Bangladesh Forest Research institute. Chittagong, Ba","",,,"","","32"
133,"Latif, M.A., Islam, M.N. (1984). Tree volume tables for Dipterocarpus turbintus Gaertn. F. (Tali Garjan). In: Choudhury, J.H., and Davidson, J. (eds.), Tree volume tables for four species grown in plantation in Bangladesh. Bulletin 2, Inventory Division, Bangladesh Forest Research Institute, Chittagong.","Latif, M.A., Islam, M.N.","1984","Tree volume tables for Dipterocarpus turbintus Gaertn. F. (Tali Garjan). In: Choudhury, J.H., and Davidson, J. (eds.), Tree volume tables for four species grown in plantation in Bangladesh. Bulletin 2, Inventory Division, Bangladesh Forest Research instit","",,,"","","33"
134,"Latif, M.A., Islam, M.N., Islam, S.S. (1985). Tree volume tables for Teak (Tectona grandis) in Bangladesh. Bulletin no 5, Inventory Division, Bangladesh Forest Research Institute, Chittagong.","Latif, M.A., Islam, M.N., Islam, S.S.","1985","Tree volume tables for Teak (Tectona grandis) in Bangladesh. Bulletin no 5, Inventory Division, Bangladesh Forest Research Institute, Chittagong.","",,,"","","34"
135,"Das, S., Davidson, J., Latif, M.A., Rahman, F., Das, S. (1985). Tree volume tables for Moluccana (Paraserianthes falcataria syn. Albizia falcataria syn. A. moluccana) in Bangladesh. Bulletin no 4, Inventory Division, Bangladesh Forest Research Institute, Chittagong.","Das, S., Davidson, J., Latif, M.A., Rahman, F., Das, S.","1985","Tree volume tables for Moluccana (Paraserianthes falcataria syn. Albizia falcataria syn. A. moluccana) in Bangladesh. Bulletin no 4, Inventory Division, Bangladesh Forest Research Institute, Chittagong.","",,,"","","35"
136,"Islam, S.M.Z., Ahmed, K.U., Khan, M.I. (2014). Mathematical models for estimating stem volume and volume tables of Rubber tree. Bulletin 10, Forest Inventory Series, Bangladesh Forest Reearch Institute, Chittagong.","Islam, S.M.Z., Ahmed, K.U., Khan, M.I.","2014","Mathematical models for estimating stem volume and volume tables of Rubber tree.","Bulletin 10, Forest Inventory Series, Bangladesh Forest Reearch Institute, Chittagong.",,,"","","36"
137,"Latif, M.A., Islam, S.S., Davidson, J. (1986). Metric volume tables for some tree species found in the natural forests of Bangladesh. Bulletin 6, Inventory Division, Bangladesh Forest Resarch Institute, Chittagong.","Latif, M.A., Islam, S.S., Davidson, J.","1986","Metric volume tables for some tree species found in the natural forests of Bangladesh. Bulletin 6, Inventory Division, Bangladesh Forest Resarch Institute, Chittagong.","",,,"","","37"
138,"Latif, M.A., Islam, S.M.Z. (2004). Timber and fuelwood volume tables for Acacia auriculiformis, A. mangium, Eucalyptus camaldulensis and Dalbergia sissoo in plantations in Bangladesh. Forestry Sector Project, Bangladesh Forest Department and Bangladesh Forest Research Institute, Chittagong.","Latif, M.A., Islam, S.M.Z.","2004","Timber and fuelwood volume tables for Acacia auriculiformis, A. mangium, Eucalyptus camaldulensis and Dalbergia sissoo in plantations in Bangladesh. Forestry Sector Project, Bangladesh Forest Department and Bangladesh Forest Research Institute, Chittagong","",,,"","","38"
139,"Latif, M.A., Islam, M.S., Islam, S.M.Z. (1999). Volume tables for sissoo, koroi, mahogany, eucalyptus and bokain planted on croplands in the western part of Bangladesh. Bangladesh Forest Research Institute, Chittagong.","Latif, M.A., Islam, M.S., Islam, S.M.Z.","1999","Volume tables for sissoo, koroi, mahogany, eucalyptus and bokain planted on croplands in the western part of Bangladesh. Bangladesh Forest Research Institute, Chittagong.","",,,"","","39"
140,"Chaffey, D.R., Miller, F.R., Sandom, J.H. (1985). A forest inventory of the Sundarbans, Bangladesh. Project report 140, Overseas Development Administration, Land Resources Development Centre, England .","Chaffey, D.R., Miller, F.R., Sandom, J.H.","1985","A forest inventory of the Sundarbans, Bangladesh. Project report 140, Overseas Development Administration, Land Resources Development Centre, England","",,,"","","40"
141,"Revilla, J.A.V., Ahmed, I.U., Hossain, A. (1998). Forest Inventory of the Sundarbans Reserved Forest, Final Report, Volume 1. Mandala Agricultural Development Corporation and Forest Department, Ministry of Environment and Forests, Dhaka, Bangladesh.","Revilla, J.A.V., Ahmed, I.U., Hossain, A.","1998","Forest Inventory of the Sundarbans Reserved Forest, Final Report, Volume 1. Mandala Agricultural Development Corporation and Forest Department, Ministry of Environment and Forests, Dhaka, Bangladesh","",,,"","","41"
142,"Latif, M.A., Islam, S.M.Z. (2000). Volume tables for 11 important tree species grown in the home gardens of Bangladesh. Forest Inventory Division, Bangladesh Forest Research Institute, Chittagong.","Latif, M.A., Islam, S.M.Z.","2000","Volume tables for 11 important tree species grown in the home gardens of Bangladesh. Forest Inventory Division, Bangladesh Forest Research Institute, Chittagong.","",,,"","","42"
143,"Cox, F.Z. (1984). Volume functions for plantation species and elements for growth models for Teak. Field Document no 2, Assistance to the Forestry Sector of Bangladesh, Food and Agricultural Organization of the United Nations, FAO/UNDP Project BGD/79/017 .","Cox, F.Z.","1984","Volume functions for plantation species and elements for growth models for Teak. Field Document no 2, Assistance to the Forestry Sector of Bangladesh, Food and Agricultural Organization of the United Nations, FAO/UNDP Project BGD/79/017","",,,"","","43"
144,"Revilla, J.A.V., Ahmed, I.U.., Saha, U.K. (1998). Forest Inventory of the Natural Forest and Forest Plantations (Sylhet Forest Division), Final Report. Gob/Wb, Forest Resources Management Project, Technical Assistance Component. (Mandala Agricultural Development Corporation and Forest Department, Ministr.","Revilla, J.A.V., Ahmed, I.U.., Saha, U.K.","1998","Forest Inventory of the Natural Forest and Forest Plantations (Sylhet Forest Division), Final Report. Gob/Wb, Forest Resources Management Project, Technical Assistance Component. (Mandala Agricultural Development Corporation and Forest Department, Ministr","",,,"","","44"
145,"Kingston, B. (1979). A collation of tree and bamboo volume tables of Bangladesh. Field Document no 15, Food and Agricultural Organization of the United Nations, UNDP/FAO Project BGD/72/005, Forest Research Institute, Chittagong.","Kingston, B.","1979","A collation of tree and bamboo volume tables of Bangladesh. Field Document no 15, Food and Agricultural Organization of the United Nations, UNDP/FAO Project BGD/72/005, Forest Research Institute, Chittagong","",,,"","","45"
