"plot_plot_id","lf_start_time_collection","lf_start_time_collection_hour","lf_start_time_collection_minute","lf_id","lf_details_lf_status","lf_details_lf_status_label","lf_details_lf_size","lf_details_lf_size_label","lf_details_lf_owner","lf_details_lf_owner_qualifier","lf_details_lf_owner_label","lf_details_land_legal","lf_details_land_legal_label","lf_details_lf_serv[1]","lf_details_lf_serv_qualifier[1]","lf_details_lf_serv_label[1]","lf_details_lf_serv[2]","lf_details_lf_serv_qualifier[2]","lf_details_lf_serv_label[2]","lf_details_lf_serv[3]","lf_details_lf_serv_qualifier[3]","lf_details_lf_serv_label[3]","lf_details_lf_serv[4]","lf_details_lf_serv_qualifier[4]","lf_details_lf_serv_label[4]","lf_details_lf_serv[5]","lf_details_lf_serv_qualifier[5]","lf_details_lf_serv_label[5]","lf_details_cover_min","lf_details_cover_max","nlcl","nlcl_label","lf_notes","lfo_count"
"1706","10:24","10","24","1","1","Center subplot","2","> 0.5 ha","1","","Private","","","1","","Fruits, nuts, seeds, roots, berries, etc","8","","Windbreak","96","","Other","3","","Rattan","7","","Beekeeping activities","70.0","80.0","PCm","Multiple Crop","(Chilli also found <FM>)","5.0"
"947","10:22","10","22","1","4","South subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","1","","Fruits, nuts, seeds, roots, berries, etc","","","","","","","","","","","","","30.0","50.0","OT","Orchards & Other Plantations (Trees)","[Changed from FEh to OT (LC)]","5.0"
"947","10:46","10","46","2","5","West subplot","1","< 0.5 ha","1","","Private","","","96","fish cultivation","Other","","","","","","","","","","","","","0.0","0.0","Po","Ponds","","5.0"
"950","9:2","9","2","1","1","Center subplot","2","> 0.5 ha","1","","Private","","","1","","Fruits, nuts, seeds, roots, berries, etc","96","household activities","Other","","","","","","","","","","30.0","40.0","RS","Rural Settlement","","4.0"
"233","13:21","13","21","1","3","East suplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","","","","","","","","","","","","","5.0","15.0","FEh","Hilly Forest (Mixed & Evergreen)","Bushy plants(Asam Lota) covered maximum area","5.0"
"233","15:1","15","1","2","5","West subplot","1","< 0.5 ha","2","","Forest Department","1","Reserved Forest","0","","None observed","","","","","","","","","","","","","0.0","0.0","PCs","Single Crop","About Half acre paddy field was found in total land feature 2","5.0"
"272","11:30","11","30","1","3","East suplot","2","> 0.5 ha","1","","Private","","","0","","None observed","","","","","","","","","","","","","50.0","60.0","RS","Rural Settlement","Homestead garden","6.0"
"272","11:57","11","57","2","5","West subplot","2","> 0.5 ha","1","","Private","","","0","","None observed","","","","","","","","","","","","","0.0","0.0","RS","Rural Settlement","Fullow land","6.0"
"130","10:18","10","18","1","1","Center subplot","2","> 0.5 ha","3","","Government (other)","5","Un-classed State Forest","1","","Fruits, nuts, seeds, roots, berries, etc","6","","Wildlife","4","","Plant medicines","","","","","","","80.0","90.0","FEh","Hilly Forest (Mixed & Evergreen)","","4.0"
"307","10:18","10","18","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","1","","Fruits, nuts, seeds, roots, berries, etc","","","","","","","","","","90.0","100.0","FEh","Hilly Forest (Mixed & Evergreen)","","3.0"
"1509","13:56","13","56","1","1","Center subplot","2","> 0.5 ha","3","","Government (other)","","","96","irrigation","Other","","","","","","","","","","","","","0.0","0.0","PCs","Single Crop","No. Trees . Agricultural fields only","2.0"
"1510","8:54","8","54","1","1","Center subplot","2","> 0.5 ha","3","","Government (other)","","","0","","None observed","","","","","","","","","","","","","0.0","0.0","PCs","Single Crop","Char. Land. Agriculture","1.0"
"1525","11:2","11","2","1","5","West subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","96","grazing","Other","","","","","","","","","","0.0","0.0","FMp","Mangrove Plantation","","3.0"
"1525","11:20","11","20","2","3","East suplot","2","> 0.5 ha","3","","Government (other)","","","6","","Wildlife","96","grazzing","Other","","","","","","","","","","60.0","70.0","FMp","Mangrove Plantation","Mangrove plantation and grazzing land. Side by side","3.0"
"1712","12:0","12","0","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","8","","Windbreak","6","","Wildlife","","","","","","","","","","80.0","90.0","FMp","Mangrove Plantation","","2.0"
"1715","10:31","10","31","1","3","East suplot","2","> 0.5 ha","1","","Private","","","1","","Fruits, nuts, seeds, roots, berries, etc","8","","Windbreak","","","","","","","","","","5.0","10.0","PCm","Multiple Crop","","5.0"
"1715","10:47","10","47","2","5","West subplot","2","> 0.5 ha","1","","Private","","","1","","Fruits, nuts, seeds, roots, berries, etc","4","","Plant medicines","8","","Windbreak","","","","","","","70.0","80.0","RS","Rural Settlement","","5.0"
"1707","1:30","1","30","1","1","Center subplot","2","> 0.5 ha","3","","Government (other)","","","0","","None observed","","","","","","","","","","","","","0.0","0.0","BS","Beaches/Sand Bar","","1.0"
"1705","8:46","8","46","1","1","Center subplot","2","> 0.5 ha","1","","Private","","","1","","Fruits, nuts, seeds, roots, berries, etc","3","","Rattan","8","","Windbreak","","","","","","","10.0","20.0","PCm","Multiple Crop","[Chilli and lentil crops also present (FM)]","3.0"
"949","8:50","8","50","1","1","Center subplot","2","> 0.5 ha","1","","Private","","","96","crop field","Other","","","","","","","","","","","","","70.0","80.0","PCs","Single Crop","","1.0"
"240","10:54","10","54","1","4","South subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","1","","Fruits, nuts, seeds, roots, berries, etc","96","winter vegetables","Other","","","","","","","","","","40.0","50.0","FEh","Hilly Forest (Mixed & Evergreen)","","6.0"
"240","11:39","11","39","2","5","West subplot","2","> 0.5 ha","1","","Private","","","96","paddy crops","Other","","","","","","","","","","","","","0.0","0.0","PCs","Single Crop","","6.0"
"257","12:30","12","30","1","3","East suplot","2","> 0.5 ha","1","","Private","","","4","","Plant medicines","5","","Dying / tanning","1","","Fruits, nuts, seeds, roots, berries, etc","","","","","","","50.0","60.0","RS","Rural Settlement","","5.0"
"257","1:7","1","7","2","5","West subplot","2","> 0.5 ha","1","","Private","","","96","Fish cultivation","Other","","","","","","","","","","","","","0.0","0.0","Po","Ponds","","5.0"
"257","1:35","1","35","3","4","South subplot","1","< 0.5 ha","1","","Private","","","96","crop","Other","1","","Fruits, nuts, seeds, roots, berries, etc","","","","","","","","","","30.0","40.0","PCs","Single Crop","","5.0"
"135","12:6","12","6","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","1","","Fruits, nuts, seeds, roots, berries, etc","6","","Wildlife","7","","Beekeeping activities","4","","Plant medicines","","","","90.0","100.0","FEh","Hilly Forest (Mixed & Evergreen)","","3.0"
"314","13:3","13","3","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","6","Protected Areas","6","","Wildlife","4","","Plant medicines","1","","Fruits, nuts, seeds, roots, berries, etc","","","","","","","5.0","10.0","FEh","Hilly Forest (Mixed & Evergreen)","","2.0"
"255","13:28","13","28","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","1","","Fruits, nuts, seeds, roots, berries, etc","9","","Recreation and tourism","","","","","","","40.0","50.0","FEh","Hilly Forest (Mixed & Evergreen)","","4.0"
"1526","14:56","14","56","1","1","Center subplot","2","> 0.5 ha","3","","Government (other)","","","96","Fish","Other","","","","","","","","","","","","","0.0","0.0","R","Rivers and Khals","Total plot is eroded . It is completely  in the. River","1.0"
"1527","12:3","12","3","1","1","Center subplot","2","> 0.5 ha","3","","Government (other)","","","0","","None observed","","","","","","","","","","","","","0.0","0.0","PCs","Single Crop","","2.0"
"1527","12:54","12","54","2","2","North subplot","2","> 0.5 ha","3","","Government (other)","","","0","","None observed","","","","","","","","","","","","","0.0","0.0","R","Rivers and Khals","","2.0"
"1522","15:42","15","42","1","1","Center subplot","2","> 0.5 ha","3","","Government (other)","","","0","","None observed","","","","","","","","","","","","","0.0","0.0","PCs","Single Crop","Agricultural land","2.0"
"1522","16:56","16","56","2","2","North subplot","1","< 0.5 ha","3","","Government (other)","","","0","","None observed","","","","","","","","","","","","","0.0","0.0","Po","Ponds","","2.0"
"1714","10:15","10","15","1","5","West subplot","2","> 0.5 ha","3","","Government (other)","","","0","","None observed","","","","","","","","","","","","","0.0","0.0","MF","Mud Flats","Newly. accreted. char","2.0"
"1714","10:30","10","30","2","4","South subplot","2","> 0.5 ha","3","","Government (other)","","","0","","None observed","","","","","","","","","","","","","0.0","0.0","R","Rivers and Khals","Cannel","2.0"
"1523","10:19","10","19","1","2","North subplot","2","> 0.5 ha","3","","Government (other)","","","0","","None observed","","","","","","","","","","","","","0.0","0.0","PCs","Single Crop","","2.0"
"1523","10:44","10","44","2","4","South subplot","2","> 0.5 ha","3","","Government (other)","","","0","","None observed","","","","","","","","","","","","","0.0","0.0","RB","River Banks","","2.0"
"226","13:41","13","41","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","0","","None observed","","","","","","","","","","","","","0.0","10.0","FEh","Hilly Forest (Mixed & Evergreen)","Subplot-1 centre situated in Plain land between two hills","3.0"
"232","10:24","10","24","1","1","Center subplot","2","> 0.5 ha","1","","Private","","","0","","None observed","","","","","","","","","","","","","50.0","60.0","RS","Rural Settlement","Homestead Garden","7.0"
"236","11:30","11","30","1","1","Center subplot","2","> 0.5 ha","1","","Private","","","0","","None observed","","","","","","","","","","","","","40.0","50.0","RS","Rural Settlement","It was a Homestead garden","5.0"
"303","15:38","15","38","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","1","","Fruits, nuts, seeds, roots, berries, etc","","","","","","","","","","","","","40.0","50.0","FEh","Hilly Forest (Mixed & Evergreen)","","4.0"
"303","15:45","15","45","2","4","South subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","96","paddy land","Other","","","","","","","","","","","","","5.0","10.0","FEh","Hilly Forest (Mixed & Evergreen)","","4.0"
"318","12:35","12","35","1","1","Center subplot","2","> 0.5 ha","1","","Private","","","0","","None observed","","","","","","","","","","","","","0.0","0.0","SC","Shifting Cultivation","","1.0"
"318","12:58","12","58","2","4","South subplot","2","> 0.5 ha","1","","Private","","","0","","None observed","","","","","","","","","","","","","70.0","80.0","RS","Rural Settlement","","1.0"
"317","8:30","8","30","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","1","","Fruits, nuts, seeds, roots, berries, etc","6","","Wildlife","4","","Plant medicines","","","","","","","20.0","30.0","FEh","Hilly Forest (Mixed & Evergreen)","","4.0"
"317","8:39","8","39","2","4","South subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","96","paddy land","Other","","","","","","","","","","","","","3.0","5.0","FEh","Hilly Forest (Mixed & Evergreen)","","4.0"
"238","10:58","10","58","1","1","Center subplot","2","> 0.5 ha","1","","Private","","","96","Tea estate","Other","","","","","","","","","","","","","20.0","30.0","OS","Orchards & Other Plantations (Shrub)","[LF changed from FeH to SO (LC)]","4.0"
"315","9:41","9","41","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","6","Protected Areas","1","","Fruits, nuts, seeds, roots, berries, etc","6","","Wildlife","4","","Plant medicines","9","","Recreation and tourism","","","","10.0","20.0","FEh","Hilly Forest (Mixed & Evergreen)","","3.0"
"316","14:41","14","41","1","4","South subplot","2","> 0.5 ha","2","","Forest Department","6","Protected Areas","1","","Fruits, nuts, seeds, roots, berries, etc","4","","Plant medicines","6","","Wildlife","","","","","","","15.0","30.0","FEh","Hilly Forest (Mixed & Evergreen)","","4.0"
"316","13:49","13","49","2","1","Center subplot","2","> 0.5 ha","2","","Forest Department","6","Protected Areas","0","","None observed","","","","","","","","","","","","","25.0","30.0","FEh","Hilly Forest (Mixed & Evergreen)","","4.0"
"306","10:4","10","4","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","1","","Fruits, nuts, seeds, roots, berries, etc","4","","Plant medicines","","","","","","","90.0","100.0","FEh","Hilly Forest (Mixed & Evergreen)","","6.0"
"306","10:51","10","51","2","4","South subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","96","paddy land","Other","","","","","","","","","","","","","80.0","90.0","FEh","Hilly Forest (Mixed & Evergreen)","","6.0"
"1520","8:14","8","14","1","2","North subplot","2","> 0.5 ha","1","","Private","","","0","","None observed","","","","","","","","","","","","","30.0","40.0","PCs","Single Crop","","3.0"
"1520","8:30","8","30","2","4","South subplot","1","< 0.5 ha","1","","Private","","","0","","None observed","","","","","","","","","","","","","25.0","35.0","Po","Ponds","","3.0"
"1521","13:37","13","37","1","2","North subplot","2","> 0.5 ha","2","","Forest Department","8","Coastal Afforestation","6","","Wildlife","8","","Windbreak","","","","","","","","","","80.0","90.0","FMp","Mangrove Plantation","[No photos attached (LC]","2.0"
"1519","10:34","10","34","1","5","West subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","8","","Windbreak","","","","","","","","","","60.0","70.0","FMp","Mangrove Plantation","","3.0"
"1519","10:47","10","47","2","3","East suplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","","","","","","","","","","","","","0.0","0.0","RB","River Banks","","3.0"
"304","10:59","10","59","1","5","West subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","96","paddy land","Other","","","","","","","","","","","","","0.0","5.0","FEh","Hilly Forest (Mixed & Evergreen)","","3.0"
"304","11:10","11","10","2","3","East suplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","1","","Fruits, nuts, seeds, roots, berries, etc","","","","","","","","","","","","","0.0","5.0","FEh","Hilly Forest (Mixed & Evergreen)","","3.0"
"1505","13:6","13","6","1","4","South subplot","2","> 0.5 ha","2","","Forest Department","8","Coastal Afforestation","6","","Wildlife","8","","Windbreak","","","","","","","","","","70.0","80.0","FMp","Mangrove Plantation","","3.0"
"1502","10:33","10","33","1","4","South subplot","2","> 0.5 ha","2","","Forest Department","8","Coastal Afforestation","8","","Windbreak","6","","Wildlife","","","","","","","","","","70.0","80.0","FMp","Mangrove Plantation","","3.0"
"1494","9:1","9","1","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","9","","Recreation and tourism","8","","Windbreak","","","","","","","80.0","90.0","FMp","Mangrove Plantation","","2.0"
"1501","10:45","10","45","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","8","Coastal Afforestation","6","","Wildlife","8","","Windbreak","","","","","","","","","","70.0","80.0","FMp","Mangrove Plantation","","3.0"
"1499","10:1","10","1","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","8","Coastal Afforestation","8","","Windbreak","6","","Wildlife","","","","","","","","","","70.0","80.0","FMp","Mangrove Plantation","","3.0"
"308","10:8","10","8","1","1","Center subplot","2","> 0.5 ha","1","","Private","","","96","Paddy Land","Other","","","","","","","","","","","","","0.0","0.0","PCm","Multiple Crop","","1.0"
"1550","11:49","11","49","1","1","Center subplot","2","> 0.5 ha","3","","Government (other)","","","0","","None observed","","","","","","","","","","","","","0.0","0.0","BS","Beaches/Sand Bar","Tidal Zone","1.0"
"1551","10:39","10","39","1","1","Center subplot","2","> 0.5 ha","3","","Government (other)","","","0","","None observed","","","","","","","","","","","","","0.0","0.0","IA","Intertidal Area","","1.0"
"1552","16:5","16","5","1","1","Center subplot","2","> 0.5 ha","3","","Government (other)","","","0","","None observed","","","","","","","","","","","","","0.0","0.0","IA","Intertidal Area","","1.0"
"311","12:34","12","34","1","1","Center subplot","2","> 0.5 ha","3","","Government (other)","","","0","","None observed","","","","","","","","","","","","","0.0","0.0","IA","Intertidal Area","","1.0"
"312","10:38","10","38","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","1","","Fruits, nuts, seeds, roots, berries, etc","6","","Wildlife","4","","Plant medicines","","","","","","","10.0","15.0","FEh","Hilly Forest (Mixed & Evergreen)","","2.0"
"313","11:15","11","15","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","1","","Fruits, nuts, seeds, roots, berries, etc","6","","Wildlife","4","","Plant medicines","","","","","","","90.0","100.0","FEh","Hilly Forest (Mixed & Evergreen)","","3.0"
"1495","10:6","10","6","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","8","","Windbreak","6","","Wildlife","","","","","","","","","","80.0","90.0","FMp","Mangrove Plantation","","3.0"
"1498","11:2","11","2","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","8","Coastal Afforestation","8","","Windbreak","6","","Wildlife","","","","","","","","","","70.0","80.0","FMp","Mangrove Plantation","","3.0"
"1716","9:21","9","21","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","2","Protected Forest","6","","Wildlife","8","","Windbreak","7","","Beekeeping activities","","","","","","","70.0","80.0","FMp","Mangrove Plantation","","3.0"
"1709","9:42","9","42","1","4","South subplot","2","> 0.5 ha","1","","Private","","","1","","Fruits, nuts, seeds, roots, berries, etc","6","","Wildlife","8","","Windbreak","","","","","","","75.0","85.0","RS","Rural Settlement","","5.0"
"1709","10:25","10","25","2","1","Center subplot","2","> 0.5 ha","1","","Private","","","1","","Fruits, nuts, seeds, roots, berries, etc","","","","","","","","","","","","","0.0","0.0","PCs","Single Crop","","5.0"
"1724","11:42","11","42","1","2","North subplot","2","> 0.5 ha","1","","Private","","","6","","Wildlife","1","","Fruits, nuts, seeds, roots, berries, etc","","","","","","","","","","0.0","10.0","Po","Ponds","","4.0"
"1704","16:3","16","3","1","1","Center subplot","2","> 0.5 ha","1","","Private","","","1","","Fruits, nuts, seeds, roots, berries, etc","","","","","","","","","","","","","0.0","0.0","PCs","Single Crop","","4.0"
"1704","16:6","16","6","2","3","East suplot","2","> 0.5 ha","1","","Private","","","1","","Fruits, nuts, seeds, roots, berries, etc","3","","Rattan","6","","Wildlife","8","","Windbreak","","","","90.0","100.0","RS","Rural Settlement","","4.0"
"1721","12:51","12","51","1","1","Center subplot","2","> 0.5 ha","1","","Private","","","1","","Fruits, nuts, seeds, roots, berries, etc","","","","","","","","","","","","","0.0","0.0","PCs","Single Crop","","1.0"
"1725","9:28","9","28","1","1","Center subplot","2","> 0.5 ha","1","","Private","","","1","","Fruits, nuts, seeds, roots, berries, etc","","","","","","","","","","","","","0.0","10.0","PCs","Single Crop","","5.0"
"1725","9:34","9","34","2","3","East suplot","2","> 0.5 ha","1","","Private","","","1","","Fruits, nuts, seeds, roots, berries, etc","6","","Wildlife","","","","","","","","","","60.0","70.0","RS","Rural Settlement","","5.0"
"1725","11:5","11","5","3","2","North subplot","2","> 0.5 ha","3","","Government (other)","","","0","","None observed","","","","","","","","","","","","","80.0","90.0","RS","Rural Settlement","Road","5.0"
"1725","11:29","11","29","4","5","West subplot","2","> 0.5 ha","1","","Private","","","96","fish","Other","","","","","","","","","","","","","5.0","15.0","Po","Ponds","","5.0"
"1717","9:9","9","9","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","2","Protected Forest","6","","Wildlife","8","","Windbreak","","","","","","","","","","70.0","80.0","FMp","Mangrove Plantation","","4.0"
"1718","10:18","10","18","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","8","","Windbreak","6","","Wildlife","","","","","","","","","","40.0","50.0","FMp","Mangrove Plantation","","4.0"
"1723","10:5","10","5","1","1","Center subplot","2","> 0.5 ha","1","","Private","","","1","","Fruits, nuts, seeds, roots, berries, etc","6","","Wildlife","96","Rice.winter vegetables","Other","","","","","","","0.0","0.0","PCm","Multiple Crop","(chili and onion are found <FM>)","4.0"
"1723","10:16","10","16","2","3","East suplot","2","> 0.5 ha","1","","Private","","","6","","Wildlife","8","","Windbreak","1","","Fruits, nuts, seeds, roots, berries, etc","","","","","","","70.0","80.0","RS","Rural Settlement","","4.0"
"1708","8:59","8","59","1","2","North subplot","2","> 0.5 ha","1","","Private","","","6","","Wildlife","96","fish","Other","","","","","","","","","","0.0","0.0","Po","Ponds","","3.0"
"1720","11:52","11","52","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","8","","Windbreak","1","","Fruits, nuts, seeds, roots, berries, etc","","","","","","","80.0","90.0","FMp","Mangrove Plantation","","3.0"
"1719","12:52","12","52","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","1","","Fruits, nuts, seeds, roots, berries, etc","6","","Wildlife","8","","Windbreak","","","","","","","10.0","20.0","FMp","Mangrove Plantation","","6.0"
"1719","22:23","22","23","2","3","East suplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","1","","Fruits, nuts, seeds, roots, berries, etc","6","","Wildlife","8","","Windbreak","","","","","","","50.0","60.0","FMp","Mangrove Plantation","","6.0"
"1524","12:34","12","34","1","1","Center subplot","2","> 0.5 ha","1","","Private","","","0","","None observed","","","","","","","","","","","","","0.0","0.0","PCs","Single Crop","","5.0"
"1524","13:16","13","16","2","4","South subplot","2","> 0.5 ha","1","","Private","","","0","","None observed","","","","","","","","","","","","","50.0","60.0","RS","Rural Settlement","[Looks like pond from photo (LC)]","5.0"
"1500","10:48","10","48","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","8","Coastal Afforestation","6","","Wildlife","8","","Windbreak","","","","","","","","","","60.0","70.0","FMp","Mangrove Plantation","","4.0"
"1500","10:56","10","56","2","2","North subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","0","","None observed","","","","","","","","","","","","","0.0","0.0","R","Rivers and Khals","","4.0"
"253","10:45","10","45","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","","","","","","","","","","","","","0.0","0.0","FEh","Hilly Forest (Mixed & Evergreen)","LF -1 was plain and muddy grass land where LF-2 was slope of hill","4.0"
"253","11:20","11","20","2","2","North subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","0","","None observed","","","","","","","","","","","","","55.0","65.0","FEh","Hilly Forest (Mixed & Evergreen)","planted Acacia tree found everywhere","4.0"
"44","11:46","11","46","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","8","","Windbreak","","","","","","","","","","40.0","60.0","NMF","Mangrove Forest","","2.0"
"42","8:30","8","30","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","8","","Windbreak","9","","Recreation and tourism","","","","","","","70.0","80.0","NMF","Mangrove Forest","","2.0"
"41","12:5","12","5","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","8","","Windbreak","","","","","","","","","","80.0","90.0","NMF","Mangrove Forest","","2.0"
"486","12:58","12","58","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","9","","Recreation and tourism","96","","Other","7","","Beekeeping activities","","","","70.0","80.0","NMF","Mangrove Forest","Marshy area","1.0"
"516","8:38","8","38","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","8","","Windbreak","7","","Beekeeping activities","9","","Recreation and tourism","","","","80.0","90.0","NMF","Mangrove Forest","","2.0"
"507","8:51","8","51","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","7","","Beekeeping activities","8","","Windbreak","9","","Recreation and tourism","","","","90.0","100.0","NMF","Mangrove Forest","","2.0"
"815","8:9","8","9","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","7","","Beekeeping activities","8","","Windbreak","9","","Recreation and tourism","","","","80.0","90.0","NMF","Mangrove Forest","","2.0"
"482","11:56","11","56","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","9","","Recreation and tourism","6","","Wildlife","8","","Windbreak","","","","","","","80.0","90.0","NMF","Mangrove Forest","","1.0"
"818","10:37","10","37","1","1","Center subplot","1","< 0.5 ha","2","","Forest Department","1","Reserved Forest","9","","Recreation and tourism","8","","Windbreak","7","","Beekeeping activities","6","","Wildlife","","","","80.0","90.0","NMF","Mangrove Forest","","1.0"
"13","13:55","13","55","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","7","","Beekeeping activities","8","","Windbreak","9","","Recreation and tourism","","","","80.0","90.0","NMF","Mangrove Forest","Because of inandation amount of litter is poor","1.0"
