"plot_plot_id","lf_lf_id","object_id","object","object_label","vegetation_veg_type","vegetation_veg_type_label","vegetation_artif","vegetation_artif_label","vegetation_cover_perc","vegetation_cover_perc_label","vegetation_maturity","vegetation_maturity_label","vegetation_management","vegetation_management_qualifier","vegetation_management_label","vegetation_treatment[1]","vegetation_treatment_qualifier[1]","vegetation_treatment_label[1]","vegetation_treatment[2]","vegetation_treatment_qualifier[2]","vegetation_treatment_label[2]","vegetation_treatment[3]","vegetation_treatment_qualifier[3]","vegetation_treatment_label[3]","vegetation_treatment[4]","vegetation_treatment_qualifier[4]","vegetation_treatment_label[4]","vegetation_rotation","vegetation_rotation_label","vegetation_crop_details_crop[1]","vegetation_crop_details_crop_qualifier[1]","vegetation_crop_details_crop_label[1]","vegetation_crop_details_crop[2]","vegetation_crop_details_crop_qualifier[2]","vegetation_crop_details_crop_label[2]","vegetation_crop_details_crop[3]","vegetation_crop_details_crop_qualifier[3]","vegetation_crop_details_crop_label[3]","vegetation_crop_details_cultivation","vegetation_crop_details_cultivation_label","vegetation_crop_details_crop_watersup[1]","vegetation_crop_details_crop_watersup_qualifier[1]","vegetation_crop_details_crop_watersup_label[1]","vegetation_crop_details_crop_watersup[2]","vegetation_crop_details_crop_watersup_qualifier[2]","vegetation_crop_details_crop_watersup_label[2]","vegetation_crop_details_crop_watersup[3]","vegetation_crop_details_crop_watersup_qualifier[3]","vegetation_crop_details_crop_watersup_label[3]","non_veg_details_non_veg","non_veg_details_non_veg_label","non_veg_details_non_veg_perc","non_veg_details_non_veg_perc_label","water_details_water","water_details_water_qualifier","water_details_water_label","water_details_water_sal","water_details_water_sal_label","water_details_water_perc","water_details_water_perc_label"
"272","1","1","1","Vegetated","1","Tree","2","Cultivated and managed","","","2","Uneven age semi-natural forest","11","","Village Common Forests","0","","None observed","","","","","","","","","","2","10 to 20 years","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"272","1","2","1","Vegetated","2","Woody understory","1","Natural or semi-natural","4","30-40%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"272","1","3","1","Vegetated","3","Herbs, Grass, Herbaceous crops","1","Natural or semi-natural","2","10-20%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"272","1","4","2","Non-vegetated (Abiotic)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","Building / Structure","1","1-10%","","","","","","",""
"272","2","1","1","Vegetated","2","Woody understory","1","Natural or semi-natural","2","10-20%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"272","2","2","1","Vegetated","3","Herbs, Grass, Herbaceous crops","1","Natural or semi-natural","9","80-90%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"130","1","1","1","Vegetated","1","Tree","1","Natural or semi-natural","","","2","Uneven age semi-natural forest","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"130","1","2","1","Vegetated","1","Tree","2","Cultivated and managed","","","3","Uneven plantation","0","","None observed","3","","Selective felling","","","","","","","","","","99","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"130","1","3","1","Vegetated","2","Woody understory","1","Natural or semi-natural","10","90-100%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"130","1","4","1","Vegetated","3","Herbs, Grass, Herbaceous crops","1","Natural or semi-natural","10","90-100%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"307","1","1","1","Vegetated","1","Tree","1","Natural or semi-natural","","","1","Uneven age natural forest","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"307","1","2","1","Vegetated","2","Woody understory","1","Natural or semi-natural","9","80-90%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"307","1","3","1","Vegetated","3","Herbs, Grass, Herbaceous crops","1","Natural or semi-natural","10","90-100%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1509","1","1","3","Water","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","","Canal","2","Saline","9","80-90%"
"1509","1","2","1","Vegetated","3","Herbs, Grass, Herbaceous crops","2","Cultivated and managed","9","80-90%","","","","","","","","","","","","","","","","","","","","1","","Rice","","","","","","","2","Conventional tilling","4","","Both Rainfed and Irrigated","","","","","","","","","","","","","","","","",""
"1510","1","1","1","Vegetated","3","Herbs, Grass, Herbaceous crops","2","Cultivated and managed","8","70-80%","","","","","","","","","","","","","","","","","","","","1","","Rice","","","","","","","2","Conventional tilling","4","","Both Rainfed and Irrigated","","","","","","","","","","","","","","","","",""
"1525","1","1","1","Vegetated","3","Herbs, Grass, Herbaceous crops","1","Natural or semi-natural","9","80-90%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1525","2","1","1","Vegetated","1","Tree","2","Cultivated and managed","","","4","Even age planation","7","","Coastal plantation","10","","Assisted Natural Regeneration","9","","Natural Regeneration","","","","","","","99","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1525","2","2","1","Vegetated","3","Herbs, Grass, Herbaceous crops","1","Natural or semi-natural","8","70-80%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1712","1","1","1","Vegetated","1","Tree","2","Cultivated and managed","","","1","Uneven age natural forest","7","","Coastal plantation","0","","None observed","","","","","","","","","","99","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1712","1","2","1","Vegetated","2","Woody understory","1","Natural or semi-natural","7","60-70%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1715","1","1","1","Vegetated","3","Herbs, Grass, Herbaceous crops","2","Cultivated and managed","10","90-100%","","","","","","","","","","","","","","","","","","","","1","","Rice","5","","Lentil","","","","2","Conventional tilling","3","","Rainfed","","","","","","","","","","","","","","","","",""
"1715","1","2","3","Water","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","Pond","1","Fresh","1","1-10%"
"1715","2","1","1","Vegetated","1","Tree","2","Cultivated and managed","","","3","Uneven plantation","8","","Plantation (general)","0","","None observed","","","","","","","","","","99","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1715","2","2","1","Vegetated","2","Woody understory","1","Natural or semi-natural","2","10-20%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1715","2","3","3","Water","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","Pond","1","Fresh","2","10-20%"
"1707","1","1","2","Non-vegetated (Abiotic)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","Soil, Sand Deposit","10","90-100%","","","","","","",""
"1705","1","1","1","Vegetated","3","Herbs, Grass, Herbaceous crops","2","Cultivated and managed","9","80-90%","","","","","","","","","","","","","","","","","","","","1","","Rice","6","","Potato","11","","Winter vegetables","2","Conventional tilling","3","","Rainfed","","","","","","","","","","","","","","","","",""
"1705","1","2","3","Water","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","Pond","1","Fresh","1","1-10%"
"1705","1","3","1","Vegetated","2","Woody understory","2","Cultivated and managed","3","20-30%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"949","1","1","1","Vegetated","3","Herbs, Grass, Herbaceous crops","2","Cultivated and managed","10","90-100%","","","","","","","","","","","","","","","","","","","","1","","Rice","","","","","","","4","No tilling","1","","Irrigated","","","","","","","","","","","","","","","","",""
"240","1","1","1","Vegetated","1","Tree","2","Cultivated and managed","","","4","Even age planation","6","","Woodlot plantation","0","","None observed","","","","","","","","","","2","10 to 20 years","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"240","1","2","1","Vegetated","2","Woody understory","1","Natural or semi-natural","2","10-20%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"240","1","3","1","Vegetated","3","Herbs, Grass, Herbaceous crops","1","Natural or semi-natural","7","60-70%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"240","1","4","2","Non-vegetated (Abiotic)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","Roads / Rail / Linear surface","1","1-10%","","","","","","",""
"240","1","5","1","Vegetated","3","Herbs, Grass, Herbaceous crops","2","Cultivated and managed","2","10-20%","","","","","","","","","","","","","","","","","","","","11","","Winter vegetables","","","","","","","4","No tilling","99","","Unknown","","","","","","","","","","","","","","","","",""
"240","2","1","1","Vegetated","3","Herbs, Grass, Herbaceous crops","2","Cultivated and managed","10","90-100%","","","","","","","","","","","","","","","","","","","","1","","Rice","","","","","","","4","No tilling","1","","Irrigated","","","","","","","","","","","","","","","","",""
"257","1","1","1","Vegetated","1","Tree","2","Cultivated and managed","","","4","Even age planation","8","","Plantation (general)","0","","None observed","","","","","","","","","","99","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"257","1","2","1","Vegetated","2","Woody understory","1","Natural or semi-natural","7","60-70%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"257","1","3","1","Vegetated","3","Herbs, Grass, Herbaceous crops","1","Natural or semi-natural","9","80-90%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"257","2","1","3","Water","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","Pond","1","Fresh","10","90-100%"
"257","3","1","1","Vegetated","3","Herbs, Grass, Herbaceous crops","2","Cultivated and managed","9","80-90%","","","","","","","","","","","","","","","","","","","","1","","Rice","11","","Winter vegetables","","","","4","No tilling","1","","Irrigated","","","","","","","","","","","","","","","","",""
"135","1","1","1","Vegetated","1","Tree","1","Natural or semi-natural","","","1","Uneven age natural forest","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"135","1","2","1","Vegetated","2","Woody understory","1","Natural or semi-natural","9","80-90%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"135","1","3","1","Vegetated","3","Herbs, Grass, Herbaceous crops","1","Natural or semi-natural","9","80-90%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"314","1","1","1","Vegetated","2","Woody understory","1","Natural or semi-natural","9","80-90%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"314","1","2","1","Vegetated","3","Herbs, Grass, Herbaceous crops","1","Natural or semi-natural","10","90-100%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"255","1","1","1","Vegetated","1","Tree","1","Natural or semi-natural","","","1","Uneven age natural forest","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"255","1","2","1","Vegetated","2","Woody understory","1","Natural or semi-natural","6","50-60%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"255","1","3","1","Vegetated","3","Herbs, Grass, Herbaceous crops","1","Natural or semi-natural","9","80-90%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"255","1","4","3","Water","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","Stream","1","Fresh","2","10-20%"
"1526","1","1","3","Water","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","River","2","Saline","10","90-100%"
"1527","1","1","1","Vegetated","3","Herbs, Grass, Herbaceous crops","2","Cultivated and managed","10","90-100%","","","","","","","","","","","","","","","","","","","","1","","Rice","","","","","","","2","Conventional tilling","4","","Both Rainfed and Irrigated","","","","","","","","","","","","","","","","",""
"1527","2","1","3","Water","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","","Canal","2","Saline","3","20-30%"
"1522","1","1","1","Vegetated","3","Herbs, Grass, Herbaceous crops","2","Cultivated and managed","10","90-100%","","","","","","","","","","","","","","","","","","","","1","","Rice","","","","","","","2","Conventional tilling","4","","Both Rainfed and Irrigated","","","","","","","","","","","","","","","","",""
"1522","2","1","3","Water","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","Pond","1","Fresh","6","50-60%"
"1714","1","1","1","Vegetated","3","Herbs, Grass, Herbaceous crops","1","Natural or semi-natural","9","80-90%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","River","2","Saline","10","90-100%"
"1714","2","2","3","Water","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","Mud Flats","8","70-80%","7","","Canal","2","Saline","9","80-90%"
"1523","1","1","1","Vegetated","3","Herbs, Grass, Herbaceous crops","2","Cultivated and managed","8","70-80%","","","","","","","","","","","","","","","","","","","","1","","Rice","","","","","","","2","Conventional tilling","4","","Both Rainfed and Irrigated","","","","","","","","","","","","","","","","",""
"1523","2","1","3","Water","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","","Canal","2","Saline","7","60-70%"
"226","1","1","1","Vegetated","1","Tree","1","Natural or semi-natural","","","1","Uneven age natural forest","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"226","1","2","1","Vegetated","2","Woody understory","1","Natural or semi-natural","9","80-90%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"226","1","3","1","Vegetated","3","Herbs, Grass, Herbaceous crops","1","Natural or semi-natural","4","30-40%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"232","1","1","1","Vegetated","1","Tree","2","Cultivated and managed","","","3","Uneven plantation","96","Homestead garden","Other","","","","","","","","","","","","","3","20 to 30 years","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"232","1","2","1","Vegetated","2","Woody understory","1","Natural or semi-natural","1","1-10%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"232","1","3","1","Vegetated","3","Herbs, Grass, Herbaceous crops","1","Natural or semi-natural","1","1-10%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"232","1","4","2","Non-vegetated (Abiotic)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","Building / Structure","2","10-20%","","","","","","",""
"232","1","5","2","Non-vegetated (Abiotic)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","Roads / Rail / Linear surface","1","1-10%","","","","","","",""
"232","1","","2","Non-vegetated (Abiotic)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"232","1","7","3","Water","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","Pond","1","Fresh","6","50-60%"
"236","1","1","1","Vegetated","1","Tree","2","Cultivated and managed","","","2","Uneven age semi-natural forest","0","","None observed","0","","None observed","","","","","","","","","","99","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"236","1","2","1","Vegetated","2","Woody understory","2","Cultivated and managed","1","1-10%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"236","1","3","1","Vegetated","3","Herbs, Grass, Herbaceous crops","1","Natural or semi-natural","1","1-10%","","","","","","","","","","","","","","","","","","","","11","","Winter vegetables","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"236","1","4","2","Non-vegetated (Abiotic)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","Building / Structure","2","10-20%","","","","","","",""
"236","1","5","3","Water","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","Pond","1","Fresh","3","20-30%"
"303","1","1","1","Vegetated","1","Tree","1","Natural or semi-natural","","","1","Uneven age natural forest","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"303","1","2","1","Vegetated","2","Woody understory","1","Natural or semi-natural","8","70-80%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"303","1","3","1","Vegetated","3","Herbs, Grass, Herbaceous crops","1","Natural or semi-natural","7","60-70%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"303","2","1","1","Vegetated","3","Herbs, Grass, Herbaceous crops","2","Cultivated and managed","8","70-80%","","","","","","","","","","","","","","","","","","","","1","","Rice","","","","","","","2","Conventional tilling","1","","Irrigated","","","","","","","","","","","","","","","","",""
"318","1","1","1","Vegetated","3","Herbs, Grass, Herbaceous crops","2","Cultivated and managed","10","90-100%","","","","","","","","","","","","","","","","","","","","1","","Rice","","","","","","","2","Conventional tilling","1","","Irrigated","","","","","","","","","","","","","","","","",""
"317","1","1","1","Vegetated","1","Tree","1","Natural or semi-natural","","","1","Uneven age natural forest","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"317","1","2","1","Vegetated","2","Woody understory","1","Natural or semi-natural","8","70-80%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
