"plot_plot_id","subplot_subp_id","cwd_id","cwd_tran","cwd_tran_label","cwd_lf","cwd_sdist","cwd_dia","cwd_dia_unit_name","cwd_decay","cwd_decay_label"
"1495","2","2.0","2","135","1","3.37","14.0","","4","High decay"
"1495","3","1.0","1","45","1","5.04","11.0","","4","High decay"
"1495","3","2.0","1","45","1","4.99","15.0","","5","Rotten"
"1495","3","3.0","1","45","1","0.88","14.0","","5","Rotten"
"1495","3","4.0","1","45","1","0.84","9.0","","5","Rotten"
"1495","3","5.0","2","135","1","1.76","15.0","","5","Rotten"
"1495","3","6.0","2","135","1","1.11","9.0","","5","Rotten"
"1495","3","7.0","3","225","1","3.54","11.0","","5","Rotten"
"1495","3","8.0","3","225","1","4.59","13.0","","5","Rotten"
"1495","3","9.0","3","225","1","5.24","8.3","","5","Rotten"
"1498","1","1.0","4","315","1","2.67","15.0","","4","High decay"
"1498","1","2.0","4","315","1","6.88","9.0","","4","High decay"
"1498","2","1.0","2","135","1","2.52","12.0","","5","Rotten"
"1498","2","2.0","2","135","1","1.48","10.0","","5","Rotten"
"1498","2","3.0","3","225","1","1.6","11.0","","5","Rotten"
"1498","2","4.0","4","315","1","3.22","16.0","","4","High decay"
"1498","4","1.0","2","135","1","3.64","22.0","","4","High decay"
"1498","4","2.0","3","225","1","1.65","24.0","","4","High decay"
"1498","4","3.0","4","315","1","5.44","33.0","","4","High decay"
"1716","1","1.0","0","No woody debris observed","1","","","","",""
"1716","2","1.0","0","No woody debris observed","1","","","","",""
"1716","3","1.0","0","No woody debris observed","1","","","","",""
"1716","4","1.0","0","No woody debris observed","1","","","","",""
"1716","5","1.0","0","No woody debris observed","1","","","","",""
"1709","1","1.0","0","No woody debris observed","","","","","",""
"1709","2","1.0","0","No woody debris observed","","","","","",""
"1709","3","1.0","0","No woody debris observed","","","","","",""
"1709","4","1.0","0","No woody debris observed","","","","","",""
"1724","2","1.0","0","No woody debris observed","1","","","","",""
"1724","3","1.0","0","No woody debris observed","1","","","","",""
"1724","4","1.0","0","No woody debris observed","1","","","","",""
"1724","5","1.0","0","No woody debris observed","1","","","","",""
"1704","1","1.0","0","No woody debris observed","","","","","",""
"1704","2","1.0","0","No woody debris observed","","","","","",""
"1704","3","1.0","0","No woody debris observed","","","","","",""
"1704","4","1.0","0","No woody debris observed","","","","","",""
"1704","5","1.0","0","No woody debris observed","","","","","",""
"1721","1","1.0","0","No woody debris observed","1","","","","",""
"1721","2","1.0","0","No woody debris observed","1","","","","",""
"1721","3","1.0","0","No woody debris observed","1","","","","",""
"1721","4","1.0","0","No woody debris observed","1","","","","",""
"1721","5","1.0","0","No woody debris observed","1","","","","",""
"1725","1","1.0","0","No woody debris observed","","","","","",""
"1725","2","1.0","0","No woody debris observed","","","","","",""
"1725","3","1.0","0","No woody debris observed","","","","","",""
"1725","4","1.0","0","No woody debris observed","","","","","",""
"1725","5","1.0","0","No woody debris observed","","","","","",""
"1717","1","1.0","0","No woody debris observed","1","","","","",""
"1717","2","1.0","0","No woody debris observed","1","","","","",""
"1717","3","1.0","0","No woody debris observed","1","","","","",""
"1717","4","1.0","0","No woody debris observed","1","","","","",""
"1717","5","1.0","0","No woody debris observed","1","","","","",""
"1718","1","1.0","0","No woody debris observed","1","","","","",""
"1718","2","1.0","0","No woody debris observed","1","","","","",""
"1718","3","1.0","0","No woody debris observed","1","","","","",""
"1718","4","1.0","4","315","1","1.25","14.0","","4","High decay"
"1718","5","1.0","0","No woody debris observed","1","","","","",""
"1723","1","1.0","0","No woody debris observed","","","","","",""
"1723","3","1.0","4","315","2","5.2","50.0","","1","Fresh"
"1723","4","1.0","0","No woody debris observed","","","","","",""
"1723","5","1.0","0","No woody debris observed","","","","","",""
"1708","1","1.0","0","No woody debris observed","1","","","","",""
"1708","3","1.0","0","No woody debris observed","1","","","","",""
"1708","4","1.0","0","No woody debris observed","1","","","","",""
"1708","5","1.0","0","No woody debris observed","1","","","","",""
"1720","1","1.0","0","No woody debris observed","1","","","","",""
"1720","2","1.0","0","No woody debris observed","1","","","","",""
"1720","3","1.0","0","No woody debris observed","1","","","","",""
"1720","4","1.0","0","No woody debris observed","1","","","","",""
"1720","5","1.0","0","No woody debris observed","1","","","","",""
"1719","1","1.0","0","No woody debris observed","1","","","","",""
"1719","2","1.0","0","No woody debris observed","1","","","","",""
"1719","3","1.0","0","No woody debris observed","1","","","","",""
"1719","4","1.0","0","No woody debris observed","","","","","",""
"1719","5","1.0","0","No woody debris observed","1","","","","",""
"1500","1","1.0","1","45","1","1.13","17.0","","4","High decay"
"253","1","0.0","0","No woody debris observed","","","","","",""
"253","3","0.0","0","No woody debris observed","1","","","","",""
"44","2","1.0","2","135","1","1.5","12.0","","3","Moderate decay"
"482","1","1.0","2","135","1","6.0","10.0","","4","High decay"
"816","2","1.0","3","225","1","5.52","14.3","","3","Moderate decay"
"502","1","1.0","2","135","1","0.9","11.5","","3","Moderate decay"
"843","1","1.0","1","45","1","5.8","8.2","","3","Moderate decay"
"36","1","1.0","3","225","1","2.2","9.0","","3","Moderate decay"
"36","3","1.0","4","315","1","3.0","9.9","","2","Low decay"
"505","3","1.0","3","225","1","3.0","8.1","","4","High decay"
"802","2","1.0","1","45","1","3.2","10.1","","4","High decay"
"508","3","1.0","1","45","1","4.0","9.7","","4","High decay"
"805","3","1.0","4","315","1","2.6","11.5","","3","Moderate decay"
"515","1","1.0","1","45","1","4.3","9.4","","4","High decay"
"515","3","1.0","3","225","1","5.0","8.4","","4","High decay"
"514","1","1.0","1","45","1","4.0","9.4","","4","High decay"
"518","2","1.0","1","45","1","1.0","9.4","","3","Moderate decay"
