"character_id","root_character","character_sub1","botanical_id"
368,"stipules","absent",25
369,"leaf type","simple",25
370,"leaf arrangement","alternate",25
371,"leaf venation","pinnate",25
372,"inflorescence","panicle",25
373,"floral symmetry","actinomorphic",25
374,"floral type","pentamerous",25
375,"floral attachment","gamopetalous",25
376,"corolla aestivation","imbricate",25
377,"fruit","drupe",25
378,"sexual Reproductive Unit","covered seed",25
379,"habit","tree",26
380,"bark texture","fissured",26
381,"bole","branched",26
382,"thorn","absent",26
383,"petiole","petiolate",26
384,"stipules","absent",26
385,"leaf type","simple",26
386,"leaf arrangement","alternate",26
387,"leaf venation","pinnate",26
388,"inflorescence","panicle",26
389,"floral symmetry","actinomorphic",26
390,"floral type","pentamerous",26
391,"floral attachment","gamopetalous",26
392,"corolla aestivation","imbricate",26
393,"fruit","drupe",26
394,"sexual Reproductive Unit","covered seed",26
395,"habit","tree",27
396,"bark texture","smooth",27
397,"bole","branched",27
398,"thorn","absent",27
399,"petiole","petiolate",27
400,"stipules","absent",27
401,"leaf type","simple",27
402,"leaf arrangement","alternate",27
403,"leaf venation","pinnate",27
404,"inflorescence","panicle",27
405,"floral symmetry","actinomorphic",27
406,"floral type","pentamerous",27
407,"floral attachment","gamopetalous",27
408,"corolla aestivation","imbricate",27
409,"fruit","drupe",27
410,"sexual Reproductive Unit","covered seed",27
411,"habit","tree",28
412,"bark texture","fissured",28
413,"bole","branched",28
414,"thorn","absent",28
415,"petiole","petiolate",28
416,"stipules","absent",28
417,"leaf type","simple",28
418,"leaf arrangement","alternate",28
419,"leaf venation","pinnate",28
420,"inflorescence","panicle",28
421,"floral symmetry","actinomorphic",28
422,"floral type","pentamerous",28
423,"floral attachment","gamopetalous",28
424,"corolla aestivation","imbricate",28
425,"fruit","drupe",28
426,"sexual Reproductive Unit","covered seed",28
427,"habit","tree",29
428,"bark texture","fissured",29
429,"bole","branched",29
430,"thorn","absent",29
431,"leaf persistence","deciduous",29
432,"petiole","petiolate",29
433,"stipules","absent",29
434,"leaf type","compound",29
435,"leaf arrangement","alternate",29
436,"leaf venation","pinnate",29
437,"inflorescence","panicle",29
438,"floral symmetry","actinomorphic",29
439,"floral type","pentamerous",29
440,"floral attachment","gamopetalous",29
441,"corolla aestivation","imbricate",29
442,"fruit","drupe",29
443,"sexual Reproductive Unit","covered seed",29
444,"habit","tree",30
445,"bark texture","fissured",30
446,"bole","branched",30
447,"thorn","absent",30
448,"petiole","petiolate",30
449,"stipules","absent",30
450,"leaf type","simple",30
451,"leaf arrangement","alternate",30
452,"leaf venation","pinnate",30
453,"inflorescence","panicle",30
454,"floral symmetry","actinomorphic",30
455,"floral type","pentamerous",30
456,"floral attachment","gamopetalous",30
457,"corolla aestivation","imbricate",30
458,"fruit","drupe",30
459,"sexual Reproductive Unit","covered seed",30
460,"habit","tree",31
461,"bark texture","fissured",31
462,"bole","branched",31
463,"thorn","absent",31
464,"petiole","petiolate",31
465,"stipules","absent",31
466,"leaf type","simple",31
467,"leaf arrangement","alternate",31
468,"leaf venation","pinnate",31
469,"inflorescence","panicle",31
470,"floral symmetry","actinomorphic",31
471,"floral type","pentamerous",31
472,"floral attachment","gamopetalous",31
473,"corolla aestivation","imbricate",31
474,"fruit","drupe",31
475,"sexual Reproductive Unit","covered seed",31
476,"habit","tree",32
477,"bark texture","fissured",32
478,"bole","branched",32
479,"thorn","absent",32
480,"petiole","petiolate",32
481,"stipules","absent",32
482,"leaf type","simple",32
483,"leaf arrangement","alternate",32
484,"leaf venation","pinnate",32
485,"inflorescence","panicle",32
486,"floral symmetry","actinomorphic",32
487,"floral type","pentamerous",32
488,"floral attachment","gamopetalous",32
489,"corolla aestivation","imbricate",32
490,"fruit","drupe",32
491,"sexual Reproductive Unit","covered seed",32
492,"habit","tree",33
493,"bark texture","fissured",33
494,"bole","branched",33
495,"thorn","absent",33
496,"leaf persistence","deciduous",33
497,"petiole","petiolate",33
498,"leaf type","simple",33
499,"leaf arrangement","alternate",33
500,"leaf venation","pinnate",33
501,"inflorescence","raceme",33
502,"floral symmetry","actinomorphic",33
503,"floral type","pentamerous",33
504,"floral attachment","gamopetalous",33
505,"corolla aestivation","imbricate",33
506,"fruit","drupe",33
507,"sexual Reproductive Unit","covered seed",33
508,"habit","tree",34
509,"bark texture","plated",34
510,"bole","branched",34
511,"thorn","absent",34
512,"petiole","petiolate",34
513,"stipules","absent",34
514,"leaf type","compound",34
515,"leaf arrangement","alternate",34
516,"leaf venation","pinnate",34
517,"inflorescence","panicle",34
518,"floral symmetry","actinomorphic",34
519,"floral type","pentamerous",34
520,"floral attachment","gamopetalous",34
521,"corolla aestivation","imbricate",34
522,"fruit","drupe",34
523,"sexual Reproductive Unit","covered seed",34
524,"habit","tree",35
525,"bark texture","plated",35
526,"bole","branched",35
527,"thorn","absent",35
528,"petiole","petiolate",35
529,"stipules","absent",35
530,"leaf type","compound",35
531,"leaf arrangement","alternate",35
532,"leaf venation","pinnate",35
533,"inflorescence","panicle",35
534,"floral symmetry","actinomorphic",35
535,"floral type","pentamerous",35
536,"floral attachment","gamopetalous",35
537,"corolla aestivation","imbricate",35
538,"fruit","drupe",35
539,"sexual Reproductive Unit","covered seed",35
540,"habit","tree",36
541,"bark texture","plated",36
542,"bole","branched",36
543,"thorn","absent",36
544,"petiole","petiolate",36
545,"stipules","absent",36
546,"leaf type","simple",36
547,"leaf arrangement","alternate",36
548,"leaf venation","pinnate",36
549,"inflorescence","panicle",36
550,"floral symmetry","actinomorphic",36
551,"floral type","pentamerous",36
552,"floral attachment","gamopetalous",36
553,"corolla aestivation","imbricate",36
554,"fruit","drupe",36
555,"sexual Reproductive Unit","covered seed",36
572,"habit","tree",38
573,"bark texture","plated",38
574,"bole","branched",38
575,"thorn","absent",38
576,"petiole","petiolate",38
577,"stipules","absent",38
578,"leaf type","simple",38
579,"leaf arrangement","alternate",38
580,"leaf venation","pinnate",38
581,"inflorescence","panicle",38
582,"floral symmetry","actinomorphic",38
583,"floral type","pentamerous",38
584,"floral attachment","gamopetalous",38
585,"corolla aestivation","imbricate",38
586,"fruit","drupe",38
587,"sexual Reproductive Unit","covered seed",38
588,"habit","tree",39
589,"bark texture","plated",39
590,"bole","branched",39
591,"thorn","absent",39
592,"petiole","petiolate",39
593,"stipules","absent",39
594,"leaf type","simple",39
595,"leaf arrangement","alternate",39
596,"leaf venation","pinnate",39
597,"inflorescence","panicle",39
598,"floral symmetry","actinomorphic",39
599,"floral type","pentamerous",39
600,"floral attachment","gamopetalous",39
601,"corolla aestivation","imbricate",39
602,"fruit","drupe",39
603,"sexual Reproductive Unit","covered seed",39
604,"habit","tree",40
605,"bark texture","plated",40
606,"bole","branched",40
607,"thorn","absent",40
608,"petiole","petiolate",40
609,"stipules","absent",40
610,"leaf type","simple",40
611,"leaf arrangement","alternate",40
612,"leaf venation","pinnate",40
613,"inflorescence","panicle",40
614,"floral symmetry","actinomorphic",40
615,"floral type","pentamerous",40
616,"floral attachment","gamopetalous",40
617,"corolla aestivation","imbricate",40
618,"fruit","drupe",40
619,"sexual Reproductive Unit","covered seed",40
620,"habit","tree",41
621,"bark texture","exfoliating",41
622,"bole","branched",41
623,"thorn","absent",41
624,"leaf persistence","deciduous",41
625,"petiole","petiolate",41
626,"stipules","absent",41
627,"leaf type","compound",41
628,"leaf arrangement","alternate",41
629,"leaf venation","pinnate",41
630,"inflorescence","panicle",41
631,"floral symmetry","actinomorphic",41
632,"floral type","pentamerous",41
633,"floral attachment","gamopetalous",41
634,"corolla aestivation","imbricate",41
635,"fruit","drupe",41
636,"sexual Reproductive Unit","covered seed",41
637,"habit","tree",42
638,"bark texture","smooth",42
639,"bole","branched",42
640,"thorn","absent",42
641,"leaf persistence","deciduous",42
642,"petiole","petiolate",42
643,"stipules","absent",42
644,"leaf type","compound",42
645,"leaf arrangement","alternate",42
646,"leaf venation","pinnate",42
647,"inflorescence","panicle",42
648,"floral symmetry","actinomorphic",42
649,"floral type","pentamerous",42
650,"floral attachment","gamopetalous",42
651,"corolla aestivation","imbricate",42
652,"fruit","drupe",42
653,"sexual Reproductive Unit","covered seed",42
654,"habit","tree",43
655,"bark texture","exfoliating",43
656,"bole","branched",43
657,"thorn","absent",43
658,"petiole","petiolate",43
659,"stipules","absent",43
660,"leaf type","simple",43
661,"leaf arrangement","alternate",43
662,"leaf venation","pinnate",43
663,"inflorescence","panicle",43
664,"floral symmetry","actinomorphic",43
665,"floral type","pentamerous",43
666,"floral attachment","gamopetalous",43
667,"corolla aestivation","imbricate",43
668,"fruit","drupe",43
669,"sexual Reproductive Unit","covered seed",43
670,"habit","tree",44
671,"bark texture","smooth",44
672,"bole","branched",44
673,"thorn","present",44
674,"petiole","petiolate",44
675,"stipules","present",44
676,"leaf type","simple",44
677,"leaf arrangement","whorl",44
678,"leaf venation","pinnate",44
679,"inflorescence","panicle",44
680,"floral symmetry","actinomorphic",44
681,"floral type","pentamerous",44
682,"floral attachment","gamopetalous",44
683,"corolla aestivation","valvate",44
684,"fruit","nut",44
685,"sexual Reproductive Unit","covered seed",44
686,"habit","tree",45
687,"bark texture","smooth",45
688,"bole","branched",45
689,"thorn","present",45
690,"petiole","petiolate",45
691,"stipules","present",45
692,"leaf type","simple",45
693,"leaf arrangement","whorl",45
694,"leaf venation","pinnate",45
695,"inflorescence","panicle",45
696,"floral symmetry","actinomorphic",45
697,"floral type","pentamerous",45
698,"floral attachment","gamopetalous",45
699,"corolla aestivation","valvate",45
700,"fruit","nut",45
701,"sexual Reproductive Unit","covered seed",45
702,"habit","tree",46
703,"bark texture","fissured",46
704,"bole","branched",46
705,"thorn","absent",46
706,"petiole","petiolate",46
707,"stipules","absent",46
708,"leaf type","simple",46
709,"leaf arrangement","alternate",46
710,"leaf venation","pinnate",46
711,"inflorescence","umbel",46
712,"floral symmetry","actinomorphic",46
713,"floral type","trimerous",46
714,"floral attachment","gamopetalous",46
715,"corolla aestivation","imbricate",46
716,"fruit","berry",46
717,"sexual Reproductive Unit","covered seed",46
718,"habit","tree",47
719,"bark texture","fissured",47
720,"bole","branched",47
721,"thorn","absent",47
722,"petiole","petiolate",47
723,"stipules","absent",47
724,"leaf type","simple",47
725,"leaf arrangement","alternate",47
726,"leaf venation","pinnate",47
727,"inflorescence","umbel",47
728,"floral symmetry","actinomorphic",47
729,"floral type","trimerous",47
730,"floral attachment","gamopetalous",47
731,"corolla aestivation","imbricate",47
732,"fruit","berry",47
733,"sexual Reproductive Unit","covered seed",47
734,"habit","tree",48
735,"bark texture","fissured",48
736,"bole","branched",48
737,"thorn","absent",48
738,"leaf persistence","deciduous",48
739,"petiole","petiolate",48
740,"stipules","absent",48
741,"leaf type","simple",48
742,"leaf arrangement","alternate",48
743,"leaf venation","pinnate",48
744,"inflorescence","solitary",48
745,"floral symmetry","actinomorphic",48
746,"floral type","trimerous",48
747,"floral attachment","gamopetalous",48
748,"corolla aestivation","imbricate",48
749,"fruit","coenocarpium",48
750,"sexual Reproductive Unit","covered seed",48
751,"habit","tree",49
752,"bark texture","fissured",49
753,"bole","branched",49
754,"thorn","absent",49
755,"leaf persistence","deciduous",49
756,"petiole","petiolate",49
757,"stipules","absent",49
758,"leaf type","simple",49
759,"leaf arrangement","alternate",49
760,"leaf venation","pinnate",49
761,"inflorescence","solitary",49
762,"floral symmetry","actinomorphic",49
763,"floral type","trimerous",49
764,"floral attachment","gamopetalous",49
765,"corolla aestivation","imbricate",49
766,"fruit","coenocarpium",49
767,"sexual Reproductive Unit","covered seed",49
768,"habit","tree",50
769,"bark texture","fissured",50
770,"bole","branched",50
771,"thorn","absent",50
772,"leaf persistence","deciduous",50
773,"petiole","petiolate",50
774,"stipules","absent",50
775,"leaf type","simple",50
776,"leaf arrangement","alternate",50
777,"leaf venation","pinnate",50
778,"inflorescence","solitary",50
779,"floral symmetry","actinomorphic",50
780,"floral type","trimerous",50
781,"floral attachment","gamopetalous",50
782,"corolla aestivation","imbricate",50
783,"fruit","coenocarpium",50
784,"sexual Reproductive Unit","covered seed",50
785,"habit","tree",51
786,"bark texture","fissured",51
787,"bole","branched",51
788,"thorn","absent",51
789,"leaf persistence","deciduous",51
790,"petiole","petiolate",51
791,"stipules","absent",51
792,"leaf type","simple",51
793,"leaf arrangement","alternate",51
794,"leaf venation","pinnate",51
795,"inflorescence","solitary",51
796,"floral symmetry","actinomorphic",51
797,"floral type","trimerous",51
798,"floral attachment","gamopetalous",51
799,"corolla aestivation","valvate",51
800,"fruit","berry",51
801,"sexual Reproductive Unit","covered seed",51
802,"habit","tree",52
803,"bark texture","fissured",52
804,"bole","branched",52
805,"thorn","absent",52
806,"petiole","petiolate",52
807,"stipules","absent",52
808,"leaf type","simple",52
809,"leaf arrangement","alternate",52
810,"leaf venation","pinnate",52
811,"inflorescence","solitary",52
812,"floral symmetry","actinomorphic",52
813,"floral type","trimerous",52
814,"floral attachment","gamopetalous",52
815,"corolla aestivation","imbricate",52
816,"fruit","berry",52
817,"sexual Reproductive Unit","covered seed",52
818,"habit","tree",53
819,"bark texture","fissured",53
820,"bole","branched",53
821,"petiole","petiolate",53
822,"stipules","absent",53
823,"leaf type","simple",53
824,"leaf arrangement","alternate",53
825,"leaf venation","pinnate",53
826,"inflorescence","solitary",53
827,"floral symmetry","actinomorphic",53
828,"floral type","trimerous",53
829,"floral attachment","gamopetalous",53
830,"corolla aestivation","imbricate",53
831,"fruit","berry",53
832,"sexual Reproductive Unit","covered seed",53
833,"habit","tree",54
834,"bark texture","fissured",54
835,"bole","branched",54
836,"thorn","absent",54
837,"petiole","petiolate",54
838,"stipules","absent",54
839,"leaf type","simple",54
840,"leaf arrangement","alternate",54
841,"leaf venation","pinnate",54
842,"inflorescence","solitary",54
843,"floral symmetry","actinomorphic",54
844,"floral type","trimerous",54
845,"floral attachment","gamopetalous",54
846,"corolla aestivation","valvate",54
847,"fruit","berry",54
848,"sexual Reproductive Unit","covered seed",54
849,"habit","tree",55
850,"bark texture","fissured",55
851,"bole","branched",55
852,"thorn","absent",55
853,"petiole","petiolate",55
854,"stipules","absent",55
855,"leaf type","simple",55
856,"leaf arrangement","alternate",55
857,"leaf venation","pinnate",55
858,"inflorescence","solitary",55
859,"floral symmetry","actinomorphic",55
860,"floral type","trimerous",55
861,"floral attachment","gamopetalous",55
862,"corolla aestivation","valvate",55
863,"fruit","berry",55
864,"sexual Reproductive Unit","covered seed",55
865,"habit","tree",56
866,"bark texture","fissured",56
867,"bole","branched",56
868,"thorn","absent",56
869,"petiole","petiolate",56
870,"leaf type","simple",56
871,"leaf arrangement","alternate",56
872,"leaf venation","pinnate",56
873,"inflorescence","solitary",56
874,"floral symmetry","actinomorphic",56
875,"floral type","trimerous",56
876,"floral attachment","gamopetalous",56
877,"corolla aestivation","valvate",56
878,"fruit","berry",56
879,"sexual Reproductive Unit","covered seed",56
880,"habit","tree",57
881,"bark texture","fissured",57
882,"bole","branched",57
883,"thorn","absent",57
884,"leaf persistence","deciduous",57
885,"petiole","petiolate",57
886,"stipules","absent",57
887,"leaf type","simple",57
888,"leaf arrangement","alternate",57
889,"leaf venation","pinnate",57
890,"inflorescence","solitary",57
891,"floral symmetry","actinomorphic",57
892,"floral type","trimerous",57
893,"floral attachment","polypetalous",57
894,"corolla aestivation","imbricate",57
895,"fruit","berry",57
896,"sexual Reproductive Unit","covered seed",57
897,"habit","tree",58
898,"bark texture","fissured",58
899,"bole","branched",58
900,"thorn","absent",58
901,"petiole","petiolate",58
902,"stipules","absent",58
903,"leaf type","simple",58
904,"leaf arrangement","alternate",58
905,"leaf venation","pinnate",58
906,"inflorescence","spike",58
907,"floral symmetry","actinomorphic",58
908,"floral type","trimerous",58
909,"floral attachment","polypetalous",58
910,"corolla aestivation","imbricate",58
911,"fruit","berry",58
912,"sexual Reproductive Unit","covered seed",58
913,"habit","tree",59
914,"bark texture","fissured",59
915,"bole","branched",59
916,"thorn","absent",59
917,"petiole","petiolate",59
918,"stipules","absent",59
919,"leaf type","simple",59
920,"leaf arrangement","alternate",59
921,"leaf venation","pinnate",59
922,"inflorescence","solitary",59
923,"floral symmetry","actinomorphic",59
924,"floral type","trimerous",59
925,"floral attachment","polypetalous",59
926,"corolla aestivation","imbricate",59
927,"fruit","berry",59
928,"sexual Reproductive Unit","covered seed",59
929,"habit","tree",60
930,"bark texture","fissured",60
931,"bole","branched",60
932,"thorn","absent",60
933,"petiole","petiolate",60
934,"stipules","absent",60
935,"leaf type","simple",60
936,"leaf arrangement","alternate",60
937,"leaf venation","pinnate",60
938,"inflorescence","solitary",60
939,"floral symmetry","actinomorphic",60
940,"floral type","trimerous",60
941,"floral attachment","polypetalous",60
942,"corolla aestivation","valvate",60
943,"fruit","berry",60
944,"sexual Reproductive Unit","covered seed",60
945,"habit","tree",61
946,"bark texture","fissured",61
947,"bole","branched",61
948,"thorn","absent",61
949,"petiole","petiolate",61
950,"stipules","absent",61
951,"leaf type","simple",61
952,"leaf arrangement","alternate",61
953,"leaf venation","pinnate",61
954,"inflorescence","solitary",61
955,"floral symmetry","actinomorphic",61
956,"floral type","trimerous",61
957,"floral attachment","polypetalous",61
958,"corolla aestivation","imbricate",61
959,"fruit","berry",61
960,"sexual Reproductive Unit","covered seed",61
961,"habit","tree",62
962,"bark texture","fissured",62
963,"bole","branched",62
964,"thorn","absent",62
965,"petiole","petiolate",62
966,"stipules","absent",62
967,"leaf type","simple",62
968,"leaf arrangement","alternate",62
969,"inflorescence","umbel",62
970,"floral symmetry","actinomorphic",62
971,"floral type","trimerous",62
972,"floral attachment","polypetalous",62
973,"corolla aestivation","imbricate",62
974,"fruit","berry",62
975,"sexual Reproductive Unit","covered seed",62
976,"habit","tree",63
977,"bark texture","fissured",63
978,"bole","branched",63
979,"thorn","absent",63
980,"petiole","petiolate",63
981,"stipules","absent",63
982,"leaf type","simple",63
983,"leaf arrangement","alternate",63
984,"leaf venation","pinnate",63
985,"inflorescence","umbel",63
986,"floral symmetry","actinomorphic",63
987,"floral type","trimerous",63
988,"floral attachment","polypetalous",63
989,"corolla aestivation","imbricate",63
990,"fruit","berry",63
991,"sexual Reproductive Unit","covered seed",63
992,"habit","tree",64
993,"bark texture","fissured",64
994,"bole","branched",64
995,"thorn","absent",64
996,"petiole","petiolate",64
997,"stipules","absent",64
998,"leaf type","simple",64
999,"leaf arrangement","alternate",64
1000,"leaf venation","pinnate",64
1001,"inflorescence","umbel",64
1002,"floral symmetry","actinomorphic",64
1003,"floral type","trimerous",64
1004,"floral attachment","polypetalous",64
1005,"corolla aestivation","imbricate",64
1006,"fruit","berry",64
1007,"sexual Reproductive Unit","covered seed",64
1008,"habit","tree",65
1009,"bark texture","fissured",65
1010,"bole","branched",65
1011,"thorn","absent",65
1012,"petiole","petiolate",65
1013,"stipules","absent",65
1014,"leaf type","simple",65
1015,"leaf arrangement","alternate",65
1016,"leaf venation","pinnate",65
1017,"inflorescence","umbel",65
1018,"floral symmetry","actinomorphic",65
1019,"floral type","trimerous",65
1020,"floral attachment","polypetalous",65
1021,"corolla aestivation","valvate",65
1022,"fruit","berry",65
1023,"sexual Reproductive Unit","covered seed",65
1024,"habit","tree",66
1025,"bark texture","smooth",66
1026,"bole","branched",66
1027,"thorn","absent",66
1028,"petiole","petiolate",66
1029,"stipules","absent",66
1030,"leaf type","simple",66
1031,"leaf arrangement","alternate",66
1032,"leaf venation","pinnate",66
1033,"inflorescence","umbel",66
1034,"floral symmetry","actinomorphic",66
1035,"floral type","trimerous",66
1036,"floral attachment","polypetalous",66
1037,"corolla aestivation","valvate",66
1038,"fruit","berry",66
1039,"sexual Reproductive Unit","covered seed",66
1040,"habit","tree",67
1041,"bark texture","plated",67
1042,"bole","branched",67
1043,"thorn","absent",67
1044,"petiole","petiolate",67
1045,"stipules","absent",67
1046,"leaf type","simple",67
1047,"leaf arrangement","whorl",67
1048,"leaf venation","pinnate",67
1049,"inflorescence","panicle",67
1050,"floral symmetry","actinomorphic",67
1051,"floral type","pentamerous",67
1052,"floral attachment","gamopetalous",67
1053,"corolla aestivation","imbricate",67
1054,"fruit","follicle",67
1055,"sexual Reproductive Unit","covered seed",67
1056,"habit","tree",68
1057,"bark texture","plated",68
1058,"bole","branched",68
1059,"thorn","absent",68
1060,"petiole","petiolate",68
1061,"stipules","absent",68
1062,"leaf type","simple",68
1063,"leaf arrangement","whorl",68
1064,"leaf venation","palmate",68
1065,"inflorescence","panicle",68
1066,"floral symmetry","actinomorphic",68
1067,"floral type","pentamerous",68
1068,"floral attachment","gamopetalous",68
1069,"corolla aestivation","imbricate",68
1070,"fruit","follicle",68
1071,"sexual Reproductive Unit","covered seed",68
1072,"habit","tree",69
1073,"bark texture","fissured",69
1074,"bole","branched",69
1075,"thorn","absent",69
1076,"petiole","petiolate",69
1077,"stipules","absent",69
1078,"leaf type","simple",69
1079,"leaf arrangement","whorl",69
1080,"leaf venation","pinnate",69
1081,"inflorescence","panicle",69
1082,"floral symmetry","actinomorphic",69
1083,"floral type","pentamerous",69
1084,"floral attachment","gamopetalous",69
1085,"corolla aestivation","imbricate",69
1086,"fruit","follicle",69
1087,"sexual Reproductive Unit","covered seed",69
1088,"habit","tree",70
1089,"bark texture","smooth",70
1090,"bole","branched",70
1091,"thorn","present",70
1092,"petiole","petiolate",70
1093,"stipules","absent",70
1094,"leaf type","simple",70
1095,"leaf arrangement","alternate",70
1096,"leaf venation","pinnate",70
1097,"inflorescence","cymose",70
1098,"floral symmetry","actinomorphic",70
1099,"floral type","pentamerous",70
1100,"floral attachment","gamopetalous",70
1101,"corolla aestivation","imbricate",70
1102,"fruit","drupe",70
1103,"sexual Reproductive Unit","covered seed",70
1104,"habit","tree",71
1105,"bark texture","exfoliating",71
1106,"bole","branched",71
1107,"thorn","absent",71
1108,"petiole","petiolate",71
1109,"stipules","absent",71
1110,"leaf type","simple",71
1111,"leaf arrangement","alternate",71
1112,"leaf venation","pinnate",71
1113,"inflorescence","cymose",71
1114,"floral symmetry","actinomorphic",71
1115,"floral type","pentamerous",71
1116,"floral attachment","gamopetalous",71
1117,"corolla aestivation","imbricate",71
1118,"fruit","drupe",71
1119,"sexual Reproductive Unit","covered seed",71
1120,"habit","tree",72
1121,"bark texture","plated",72
1122,"bole","branched",72
1123,"thorn","absent",72
1124,"petiole","petiolate",72
1125,"stipules","absent",72
1126,"leaf type","simple",72
1127,"leaf arrangement","alternate",72
1128,"leaf venation","pinnate",72
1129,"inflorescence","cymose",72
1130,"floral symmetry","actinomorphic",72
1131,"floral type","pentamerous",72
1132,"floral attachment","gamopetalous",72
1133,"corolla aestivation","imbricate",72
1134,"fruit","follicle",72
1135,"sexual Reproductive Unit","covered seed",72
1136,"habit","tree",73
1137,"bark texture","fissured",73
1138,"bole","branched",73
1139,"thorn","absent",73
1140,"petiole","petiolate",73
1141,"stipules","absent",73
1142,"leaf type","simple",73
1143,"leaf arrangement","alternate",73
1144,"leaf venation","pinnate",73
1145,"inflorescence","cymose",73
1146,"floral symmetry","actinomorphic",73
1147,"floral type","pentamerous",73
1148,"floral attachment","gamopetalous",73
1149,"corolla aestivation","imbricate",73
1150,"fruit","drupe",73
1151,"sexual Reproductive Unit","covered seed",73
1152,"habit","tree",74
1153,"bark texture","fissured",74
1154,"bole","branched",74
1155,"thorn","absent",74
1156,"petiole","petiolate",74
1157,"stipules","absent",74
1158,"leaf type","simple",74
1159,"leaf arrangement","opposite",74
1160,"leaf venation","pinnate",74
1161,"inflorescence","cymose",74
1162,"floral symmetry","actinomorphic",74
1163,"floral type","pentamerous",74
1164,"floral attachment","gamopetalous",74
1165,"corolla aestivation","imbricate",74
1166,"fruit","drupe",74
1167,"sexual Reproductive Unit","covered seed",74
1168,"habit","tree",75
1169,"bark texture","exfoliating",75
1170,"bole","branched",75
1171,"thorn","absent",75
1172,"petiole","petiolate",75
1173,"stipules","absent",75
1174,"leaf type","simple",75
1175,"leaf arrangement","whorl",75
1176,"leaf venation","pinnate",75
1177,"inflorescence","cymose",75
1178,"floral symmetry","actinomorphic",75
1179,"floral type","pentamerous",75
1180,"floral attachment","gamopetalous",75
1181,"corolla aestivation","imbricate",75
1182,"fruit","follicle",75
1183,"sexual Reproductive Unit","covered seed",75
1184,"habit","tree",76
